Tm,Lex,Luhn,Lsa,Tr,LDA
781,0.01658830643479014,281,0.38471670517396067,0.00595401649905633,0.9793379976266654
181,0.011895648405655547,147,0.5158400649047222,0.00671497322093231,0.9704191092664105
420,0.011149732155515167,165,0.5850223695853505,0.0057927053260322875,0.9727052348725145
450,0.011182021301771363,200,0.4881627065171576,0.00575886474463033,0.9748256476106725
384,0.005587922092094947,281,0.5086435146214641,0.0028809860399556233,0.984465550116706
407,0.012477560665446063,216,0.5266017238858671,0.006546523500000768,0.9794281464155451
271,0.011733004187632866,265,0.4708573452775036,0.005477828436084832,0.9813849972564517
327,0.010277251760704641,187,0.5251351186605395,0.005276127592596424,0.9740775766627987
404,0.010316601061446032,183,0.46837386734679554,0.005011913333948754,0.9729242631367077
566,0.009916820197689242,244,0.6373426167479963,0.003871230376077394,0.9731548852490963
635,0.009157884333020566,257,0.7172067518538854,0.005048357140013335,0.9815853396923144
172,0.01251217445942675,164,0.5248662972369319,0.0060205869404316645,0.9723467417292764
448,0.010103176195924043,221,0.4843710797308307,0.00525004827756049,0.9783320104324295
607,0.004938419745337276,273,0.46775218813495656,0.002207387900681739,0.9837986223539505
931,0.007642155503875262,277,0.4167523692730943,0.002770507178275859,0.9777403290763806
375,0.0060645814070984985,253,0.7566633314682667,0.003105949074678113,0.9805713712101215
411,0.01302917798384906,160,0.61221405761017,0.006213255484632054,0.9732669069484546
318,0.009509207768355833,130,0.6313531805751019,0.005474124642803776,0.9696210460015756
545,0.010245966938056204,155,0.425034132485232,0.00385913120788428,0.9678904554327351
281,0.01104277851788404,269,0.5451971043153371,0.0047470308497919765,0.9845155279231246
352,0.011910018040047068,164,0.5783736678699629,0.007064456585207079,0.9729912653024347
483,0.008813770602284042,251,0.5374709652018008,0.003620568050515905,0.9820448337655288
697,0.01562800511802404,236,0.6383954759796721,0.006087292274579953,0.979293555470827
467,0.009703403384117557,219,0.36870943996225614,0.004847614627381162,0.9816542864149015
367,0.015917669108144093,188,0.5613367982736953,0.006747220253383002,0.9776340501486172
314,0.015574087429837938,165,0.4064222784256622,0.007039663051387636,0.9723318526200885
752,0.007822425453892376,308,0.925024173798536,0.0025373676695703436,0.9849663746603797
664,0.007290444538661327,278,0.4414662484326462,0.0028383076855051374,0.9817602417358469
663,0.012671289463775706,182,0.36163062522024114,0.004932530661850475,0.9684161468931518
327,0.008748446743008136,220,0.8628851554002601,0.004155079775950547,0.9763207501459568
972,0.013461361449002321,223,0.4320509040310579,0.004091101087521342,0.9787021894107656
734,0.0052866877885903545,227,0.49116354541353535,0.0027320067930176935,0.9804114960929909
414,0.00976823343582726,181,0.6028615352572556,0.004127960280928931,0.9761057238036706
487,0.01064995976191139,210,0.5392456313736793,0.004753452534562456,0.9796675262915574
379,0.01490878230774308,172,0.8045528300149785,0.007410480661919984,0.9727377503163503
172,0.012572520859744635,131,0.8370533374620703,0.0073296407897152915,0.9647328519278032
295,0.01230797481091314,225,0.599007753973481,0.005875137455534011,0.978105888494505
518,0.008543697846721123,289,0.4647182153813978,0.0043006919669736614,0.9816743349252981
526,0.007714332790097677,223,0.5721573717269546,0.0026332655890448143,0.9833123857474394
310,0.014503995810185837,156,0.47669503422076276,0.007281846947902981,0.973748019152299
1103,0.0065244637841488816,391,0.4747330293172013,0.002495663599531974,0.9803263157322489
624,0.005357012949973649,181,0.488069332491073,0.0026415998058004187,0.9772415633051452
628,0.007856335971231584,233,0.7256279479494596,0.003144768056609222,0.9772805099817913
307,0.014053731721241036,189,0.6441531338938291,0.007108061779805426,0.9754942874201454
1980,0.0050435236423833915,290,0.5361862395326229,0.001860923147832073,0.9832478208558361
337,0.0119652984152721,188,0.5184240440956334,0.007108290189521645,0.9762287374304908
364,0.01379211949726787,214,0.6794725362713936,0.006698472509652564,0.978066450484302
502,0.011239834937379036,200,0.39283289257519916,0.004255271527562803,0.9760738994121451
