,0
rouge1_fmeasure,tensor(0.3176)
rouge1_precision,tensor(0.2522)
rouge1_recall,tensor(0.4454)
rouge2_fmeasure,tensor(0.0690)
rouge2_precision,tensor(0.0542)
rouge2_recall,tensor(0.0984)
rougeL_fmeasure,tensor(0.1621)
rougeL_precision,tensor(0.1287)
rougeL_recall,tensor(0.2272)
rougeLsum_fmeasure,tensor(0.2573)
rougeLsum_precision,tensor(0.2046)
rougeLsum_recall,tensor(0.3601)
