rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall,type,score_sum,score_avg,r1_sum,r2_sum,rL_sum,rLsum_sum
0.3207,0.2569,0.4383,0.0723,0.0575,0.1,0.1621,0.1297,0.222,0.2671,0.214,0.3646,fff,2.6052,0.2171,1.0159,0.2298,0.5138,0.8457
0.306,0.244,0.4223,0.0664,0.0524,0.0931,0.1607,0.128,0.2223,0.261,0.2083,0.3597,ftf,2.5242,0.2104,0.9723,0.2119,0.511,0.829
0.3364,0.3028,0.3881,0.0769,0.0681,0.0902,0.1758,0.1586,0.2026,0.2755,0.248,0.3179,tff,2.6409,0.2201,1.0273,0.2352,0.537,0.8414
0.3468,0.3101,0.4001,0.0817,0.0728,0.0946,0.1763,0.1576,0.2035,0.2868,0.2566,0.3304,ttt,2.7173,0.2264,1.057,0.2491,0.5374,0.8738
