rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall,type,score_sum,score_avg,r1_sum,r2_sum,rL_sum,rLsum_sum
0.3176,0.2522,0.4454,0.069,0.0542,0.0984,0.1621,0.1287,0.2272,0.2573,0.2046,0.3601,fff,2.5768,0.2147,1.0152,0.2216,0.518,0.822
0.3104,0.2466,0.437,0.0671,0.0528,0.0962,0.161,0.1281,0.2262,0.2519,0.2003,0.3545,fft,2.5321,0.211,0.994,0.2161,0.5153,0.8067
0.3183,0.2536,0.4447,0.0703,0.0556,0.0996,0.1622,0.1293,0.2264,0.2529,0.2015,0.3532,ftf,2.5676,0.214,1.0166,0.2255,0.5179,0.8076
0.3097,0.246,0.4352,0.0684,0.0538,0.0977,0.1603,0.1275,0.2249,0.2507,0.1991,0.3522,ftt,2.5255,0.2105,0.9909,0.2199,0.5127,0.802
0.3342,0.3106,0.3778,0.0749,0.068,0.0859,0.1715,0.1598,0.1943,0.2712,0.2514,0.3072,tff,2.6068,0.2172,1.0226,0.2288,0.5256,0.8298
0.3378,0.3032,0.3969,0.0739,0.065,0.0886,0.1721,0.1544,0.2023,0.2721,0.244,0.3202,tft,2.6305,0.2192,1.0379,0.2275,0.5288,0.8363
0.3343,0.3075,0.3808,0.0717,0.0643,0.0833,0.1698,0.1561,0.1939,0.2726,0.2507,0.3103,ttf,2.5953,0.2163,1.0226,0.2193,0.5198,0.8336
0.3373,0.3033,0.3957,0.0736,0.0649,0.0878,0.1722,0.1547,0.2024,0.2717,0.244,0.3193,ttt,2.6269,0.2189,1.0363,0.2263,0.5293,0.835
