Unnamed: 0,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
116,"'Tm', 'Luhn', 'Lsa', 'LDA'",0.0617056907384039,0.0954405399305454,0.0632205746525382,0.0368301607415475,0.0666476460122308,0.0276619985861495,0.0361983703617161,0.0596285058145326,0.0349089209447216,0.042916697927414,0.0884714559088879,0.0402461151268221
117,"'Tm', 'Luhn', 'Lsa', 'Tr'",0.0562277751208018,0.0913472667987156,0.0615505033942461,0.0361256433842925,0.0613428739712832,0.0287375946100509,0.0350391430054045,0.0588623556312605,0.035252858580838,0.041486703842854,0.0884188724399157,0.0414256094345186
118,"'Tm', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.0557613124991799,0.0936776781089632,0.059779790601521,0.033372921615632,0.0566174317425972,0.0266147692027624,0.0354927679677731,0.0572148613090159,0.0353604157591447,0.037549123793972,0.0832677591647094,0.0387599669176973
119,"'Tm', 'Luhn', 'Tr'",0.0539303125578616,0.1028549293176028,0.0638233410693002,0.0377514040883024,0.0606430819345852,0.0313342300309295,0.0359406054933267,0.0642536362356524,0.0393116245575607,0.0408862705957262,0.0957301231845497,0.0423188416343063
120,"'Tm', 'Luhn', 'Tr', 'LDA'",0.0541527978426267,0.1010460057560679,0.0661480383253409,0.0368240621856289,0.0591094476719078,0.0307389393703982,0.0363595811926312,0.0611805654706791,0.0388856643145568,0.0452101029002956,0.0998047705754085,0.0462481553686198
121,"'Tm', 'Tr'",0.0550812175562801,0.114629349960385,0.052498743272699,0.0414669790870992,0.0691016031351738,0.0321514126180069,0.0351695966351942,0.0645166698729046,0.0346634901410528,0.0452779311154925,0.1017553455824799,0.0393846326729111
122,"'Tm', 'Tr', 'LDA'",0.0536390487309279,0.1085315161396328,0.0523802229999531,0.0368490882033523,0.059027068221295,0.0293038138508569,0.0319560125420655,0.0533053587981147,0.0322417441601623,0.0423420577407783,0.09532185781873,0.0388114856510249
123,"'Tm',",0.0624017217381581,0.0969043411297307,0.0645904741991379,0.0341177994247673,0.0598172283808788,0.0265073413322337,0.032806774728478,0.0558329203567875,0.0333480994997949,0.0451622510337972,0.0848019068432739,0.0448844165232344
124,"'Tr', 'LDA'",0.0611600619175525,0.1020451373324152,0.0753699438749712,0.042245541069422,0.0511685363191341,0.0445648618359912,0.0377571706002659,0.0506337998218301,0.0529005751068096,0.0489122103549666,0.0880373659386651,0.0605393711644984
125,"'Tr',",0.0698461051156232,0.1092773918263137,0.0829737990560106,0.0422643503997909,0.0500810576564923,0.049405565770245,0.0391301727711403,0.0572109867380916,0.0605492370055177,0.0565800128544517,0.0877007318348125,0.0656765356576677
