,0
rouge1_fmeasure,tensor(0.2675)
rouge1_precision,tensor(0.1928)
rouge1_recall,tensor(0.4461)
rouge2_fmeasure,tensor(0.0481)
rouge2_precision,tensor(0.0346)
rouge2_recall,tensor(0.0806)
rougeL_fmeasure,tensor(0.1312)
rougeL_precision,tensor(0.0944)
rougeL_recall,tensor(0.2196)
rougeLsum_fmeasure,tensor(0.2220)
rougeLsum_precision,tensor(0.1599)
rougeLsum_recall,tensor(0.3710)
