,0
rouge1_fmeasure,tensor(0.2639)
rouge1_precision,tensor(0.1902)
rouge1_recall,tensor(0.4402)
rouge2_fmeasure,tensor(0.0476)
rouge2_precision,tensor(0.0342)
rouge2_recall,tensor(0.0797)
rougeL_fmeasure,tensor(0.1311)
rougeL_precision,tensor(0.0943)
rougeL_recall,tensor(0.2192)
rougeLsum_fmeasure,tensor(0.2172)
rougeLsum_precision,tensor(0.1565)
rougeLsum_recall,tensor(0.3630)
