,0
rouge1_fmeasure,tensor(0.2606)
rouge1_precision,tensor(0.1882)
rouge1_recall,tensor(0.4366)
rouge2_fmeasure,tensor(0.0472)
rouge2_precision,tensor(0.0340)
rouge2_recall,tensor(0.0793)
rougeL_fmeasure,tensor(0.1331)
rougeL_precision,tensor(0.0962)
rougeL_recall,tensor(0.2229)
rougeLsum_fmeasure,tensor(0.2093)
rougeLsum_precision,tensor(0.1512)
rougeLsum_recall,tensor(0.3503)
