rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall,type,score_sum,score_avg,r1_sum,r2_sum,rL_sum,rLsum_sum
0.3103,0.2442,0.4402,0.0657,0.0512,0.0947,0.1605,0.1262,0.2281,0.2535,0.1996,0.3593,fff,2.5335,0.2111,0.9947,0.2116,0.5148,0.8124
0.3065,0.2411,0.4339,0.0654,0.0509,0.0943,0.1604,0.1262,0.2269,0.2505,0.1968,0.3554,fft,2.5083,0.209,0.9815,0.2106,0.5135,0.8027
0.3041,0.239,0.4314,0.0634,0.0494,0.0912,0.1568,0.1233,0.2223,0.249,0.1957,0.3528,ftf,2.4784,0.2065,0.9745,0.204,0.5024,0.7975
0.3017,0.2386,0.4255,0.0638,0.0502,0.0911,0.1575,0.125,0.221,0.2476,0.196,0.3492,ftt,2.4672,0.2056,0.9658,0.2051,0.5035,0.7928
0.3445,0.3194,0.3901,0.0777,0.0703,0.0898,0.1737,0.1621,0.1963,0.276,0.256,0.3125,tff,2.6684,0.2224,1.054,0.2378,0.5321,0.8445
0.3345,0.3006,0.3916,0.071,0.0624,0.0847,0.1726,0.1553,0.2018,0.2717,0.2438,0.3184,tft,2.6084,0.2174,1.0267,0.2181,0.5297,0.8339
0.3401,0.3037,0.3983,0.0751,0.0656,0.0896,0.1735,0.1553,0.2027,0.2765,0.2469,0.3237,ttf,2.651,0.2209,1.0421,0.2303,0.5315,0.8471
0.3336,0.2989,0.3935,0.0714,0.0621,0.0866,0.1749,0.1567,0.2066,0.2736,0.2452,0.3228,ttt,2.6259,0.2188,1.026,0.2201,0.5382,0.8416
