,0
rouge1_fmeasure,tensor(0.3343)
rouge1_precision,tensor(0.3075)
rouge1_recall,tensor(0.3808)
rouge2_fmeasure,tensor(0.0717)
rouge2_precision,tensor(0.0643)
rouge2_recall,tensor(0.0833)
rougeL_fmeasure,tensor(0.1698)
rougeL_precision,tensor(0.1561)
rougeL_recall,tensor(0.1939)
rougeLsum_fmeasure,tensor(0.2726)
rougeLsum_precision,tensor(0.2507)
rougeLsum_recall,tensor(0.3103)
