,0
rouge1_fmeasure,tensor(0.3065)
rouge1_precision,tensor(0.2411)
rouge1_recall,tensor(0.4339)
rouge2_fmeasure,tensor(0.0654)
rouge2_precision,tensor(0.0509)
rouge2_recall,tensor(0.0943)
rougeL_fmeasure,tensor(0.1604)
rougeL_precision,tensor(0.1262)
rougeL_recall,tensor(0.2269)
rougeLsum_fmeasure,tensor(0.2505)
rougeLsum_precision,tensor(0.1968)
rougeLsum_recall,tensor(0.3554)
