,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0363),tensor(0.3747),tensor(0.2787),tensor(0.2577),tensor(0.2573),tensor(0.2075),tensor(0.3012),tensor(0.3052),tensor(0.2595),tensor(0.2670),tensor(0.2589),tensor(0.2847),tensor(0.2605),tensor(0.2599),tensor(0.2828),tensor(0.2076),tensor(0.2725),tensor(0.3068),tensor(0.2562),tensor(0.2599),tensor(0.2731),tensor(0.2641),tensor(0.2877),tensor(0.2847),tensor(0.2597),tensor(0.2888),tensor(0.2831),tensor(0.2730),tensor(0.2892),tensor(0.2861),tensor(0.2747),tensor(0.2784),tensor(0.2567)
rouge1_precision,tensor(0.0186),tensor(0.3770),tensor(0.2088),tensor(0.1916),tensor(0.1853),tensor(0.2252),tensor(0.2412),tensor(0.2443),tensor(0.1880),tensor(0.2208),tensor(0.1925),tensor(0.2150),tensor(0.2095),tensor(0.1874),tensor(0.2090),tensor(0.2223),tensor(0.2500),tensor(0.2463),tensor(0.1888),tensor(0.1883),tensor(0.2011),tensor(0.2138),tensor(0.2249),tensor(0.2150),tensor(0.2075),tensor(0.2231),tensor(0.2092),tensor(0.2438),tensor(0.2222),tensor(0.2234),tensor(0.2027),tensor(0.2084),tensor(0.1889)
rouge1_recall,tensor(0.8969),tensor(0.3732),tensor(0.4325),tensor(0.4036),tensor(0.4307),tensor(0.2074),tensor(0.4096),tensor(0.4196),tensor(0.4284),tensor(0.3601),tensor(0.4051),tensor(0.4323),tensor(0.3628),tensor(0.4339),tensor(0.4476),tensor(0.2103),tensor(0.3189),tensor(0.4203),tensor(0.4108),tensor(0.4293),tensor(0.4354),tensor(0.3632),tensor(0.4118),tensor(0.4323),tensor(0.3665),tensor(0.4257),tensor(0.4485),tensor(0.3290),tensor(0.4291),tensor(0.4101),tensor(0.4365),tensor(0.4329),tensor(0.4120)
rouge2_fmeasure,tensor(0.0170),tensor(0.0842),tensor(0.0558),tensor(0.0488),tensor(0.0464),tensor(0.0352),tensor(0.0504),tensor(0.0629),tensor(0.0497),tensor(0.0497),tensor(0.0494),tensor(0.0591),tensor(0.0454),tensor(0.0479),tensor(0.0599),tensor(0.0353),tensor(0.0519),tensor(0.0630),tensor(0.0476),tensor(0.0500),tensor(0.0565),tensor(0.0480),tensor(0.0566),tensor(0.0591),tensor(0.0445),tensor(0.0603),tensor(0.0598),tensor(0.0508),tensor(0.0604),tensor(0.0551),tensor(0.0570),tensor(0.0556),tensor(0.0464)
rouge2_precision,tensor(0.0087),tensor(0.0847),tensor(0.0416),tensor(0.0360),tensor(0.0331),tensor(0.0363),tensor(0.0401),tensor(0.0501),tensor(0.0357),tensor(0.0413),tensor(0.0365),tensor(0.0443),tensor(0.0362),tensor(0.0342),tensor(0.0438),tensor(0.0360),tensor(0.0477),tensor(0.0503),tensor(0.0348),tensor(0.0359),tensor(0.0413),tensor(0.0388),tensor(0.0440),tensor(0.0443),tensor(0.0353),tensor(0.0466),tensor(0.0437),tensor(0.0452),tensor(0.0463),tensor(0.0428),tensor(0.0417),tensor(0.0414),tensor(0.0338)
rouge2_recall,tensor(0.4305),tensor(0.0839),tensor(0.0875),tensor(0.0776),tensor(0.0795),tensor(0.0357),tensor(0.0692),tensor(0.0874),tensor(0.0838),tensor(0.0666),tensor(0.0783),tensor(0.0910),tensor(0.0638),tensor(0.0818),tensor(0.0971),tensor(0.0365),tensor(0.0608),tensor(0.0874),tensor(0.0778),tensor(0.0843),tensor(0.0915),tensor(0.0662),tensor(0.0815),tensor(0.0910),tensor(0.0632),tensor(0.0895),tensor(0.0968),tensor(0.0616),tensor(0.0905),tensor(0.0794),tensor(0.0920),tensor(0.0875),tensor(0.0759)
rougeL_fmeasure,tensor(0.0260),tensor(0.1941),tensor(0.1457),tensor(0.1393),tensor(0.1322),tensor(0.1315),tensor(0.1480),tensor(0.1528),tensor(0.1373),tensor(0.1525),tensor(0.1407),tensor(0.1494),tensor(0.1418),tensor(0.1314),tensor(0.1464),tensor(0.1313),tensor(0.1540),tensor(0.1533),tensor(0.1376),tensor(0.1377),tensor(0.1463),tensor(0.1503),tensor(0.1511),tensor(0.1500),tensor(0.1417),tensor(0.1518),tensor(0.1470),tensor(0.1541),tensor(0.1517),tensor(0.1524),tensor(0.1462),tensor(0.1455),tensor(0.1375)
rougeL_precision,tensor(0.0133),tensor(0.1951),tensor(0.1091),tensor(0.1036),tensor(0.0951),tensor(0.1463),tensor(0.1183),tensor(0.1222),tensor(0.0995),tensor(0.1266),tensor(0.1048),tensor(0.1127),tensor(0.1145),tensor(0.0946),tensor(0.1080),tensor(0.1438),tensor(0.1430),tensor(0.1229),tensor(0.1014),tensor(0.0997),tensor(0.1077),tensor(0.1218),tensor(0.1183),tensor(0.1132),tensor(0.1135),tensor(0.1172),tensor(0.1084),tensor(0.1394),tensor(0.1164),tensor(0.1192),tensor(0.1078),tensor(0.1089),tensor(0.1011)
rougeL_recall,tensor(0.6479),tensor(0.1934),tensor(0.2263),tensor(0.2177),tensor(0.2217),tensor(0.1295),tensor(0.2019),tensor(0.2106),tensor(0.2268),tensor(0.2057),tensor(0.2199),tensor(0.2274),tensor(0.1972),tensor(0.2201),tensor(0.2330),tensor(0.1311),tensor(0.1789),tensor(0.2105),tensor(0.2212),tensor(0.2279),tensor(0.2337),tensor(0.2072),tensor(0.2163),tensor(0.2283),tensor(0.1997),tensor(0.2243),tensor(0.2342),tensor(0.1842),tensor(0.2260),tensor(0.2184),tensor(0.2328),tensor(0.2265),tensor(0.2214)
rougeLsum_fmeasure,tensor(0.0351),tensor(0.3368),tensor(0.2342),tensor(0.2165),tensor(0.2151),tensor(0.1842),tensor(0.2481),tensor(0.2542),tensor(0.2120),tensor(0.2300),tensor(0.2178),tensor(0.2358),tensor(0.2193),tensor(0.2163),tensor(0.2369),tensor(0.1854),tensor(0.2357),tensor(0.2543),tensor(0.2146),tensor(0.2126),tensor(0.2263),tensor(0.2289),tensor(0.2403),tensor(0.2355),tensor(0.2193),tensor(0.2424),tensor(0.2369),tensor(0.2378),tensor(0.2418),tensor(0.2398),tensor(0.2286),tensor(0.2338),tensor(0.2152)
