,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.2821),tensor(0.2642),tensor(0.2605),tensor(0.2001),tensor(0.3023),tensor(0.3081),tensor(0.2647),tensor(0.2676),tensor(0.2651),tensor(0.2876),tensor(0.2591),tensor(0.2619),tensor(0.2872),tensor(0.2014),tensor(0.2628),tensor(0.3087),tensor(0.2607),tensor(0.2644),tensor(0.2787),tensor(0.2685),tensor(0.2895),tensor(0.2876),tensor(0.2587),tensor(0.2861),tensor(0.2857),tensor(0.2685),tensor(0.2861),tensor(0.2890),tensor(0.2798),tensor(0.2818),tensor(0.2621)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.2109),tensor(0.1960),tensor(0.1875),tensor(0.2133),tensor(0.2413),tensor(0.2465),tensor(0.1914),tensor(0.2199),tensor(0.1969),tensor(0.2166),tensor(0.2080),tensor(0.1886),tensor(0.2120),tensor(0.2112),tensor(0.2371),tensor(0.2476),tensor(0.1918),tensor(0.1911),tensor(0.2050),tensor(0.2169),tensor(0.2258),tensor(0.2166),tensor(0.2059),tensor(0.2207),tensor(0.2108),tensor(0.2372),tensor(0.2195),tensor(0.2251),tensor(0.2061),tensor(0.2104),tensor(0.1926)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4384),tensor(0.4148),tensor(0.4370),tensor(0.2031),tensor(0.4129),tensor(0.4226),tensor(0.4385),tensor(0.3616),tensor(0.4157),tensor(0.4371),tensor(0.3620),tensor(0.4385),tensor(0.4551),tensor(0.2075),tensor(0.3123),tensor(0.4222),tensor(0.4188),tensor(0.4383),tensor(0.4453),tensor(0.3694),tensor(0.4148),tensor(0.4371),tensor(0.3668),tensor(0.4214),tensor(0.4532),tensor(0.3265),tensor(0.4243),tensor(0.4148),tensor(0.4455),tensor(0.4388),tensor(0.4213)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0541),tensor(0.0487),tensor(0.0435),tensor(0.0323),tensor(0.0522),tensor(0.0675),tensor(0.0478),tensor(0.0432),tensor(0.0488),tensor(0.0610),tensor(0.0387),tensor(0.0441),tensor(0.0579),tensor(0.0309),tensor(0.0453),tensor(0.0673),tensor(0.0457),tensor(0.0472),tensor(0.0563),tensor(0.0438),tensor(0.0537),tensor(0.0610),tensor(0.0390),tensor(0.0559),tensor(0.0574),tensor(0.0455),tensor(0.0563),tensor(0.0537),tensor(0.0564),tensor(0.0540),tensor(0.0458)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0404),tensor(0.0361),tensor(0.0313),tensor(0.0339),tensor(0.0419),tensor(0.0542),tensor(0.0345),tensor(0.0352),tensor(0.0362),tensor(0.0460),tensor(0.0310),tensor(0.0317),tensor(0.0426),tensor(0.0314),tensor(0.0405),tensor(0.0542),tensor(0.0336),tensor(0.0341),tensor(0.0414),tensor(0.0354),tensor(0.0418),tensor(0.0460),tensor(0.0309),tensor(0.0431),tensor(0.0423),tensor(0.0400),tensor(0.0432),tensor(0.0418),tensor(0.0414),tensor(0.0404),tensor(0.0337)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.0839),tensor(0.0764),tensor(0.0728),tensor(0.0330),tensor(0.0705),tensor(0.0918),tensor(0.0791),tensor(0.0585),tensor(0.0764),tensor(0.0924),tensor(0.0542),tensor(0.0737),tensor(0.0919),tensor(0.0322),tensor(0.0547),tensor(0.0914),tensor(0.0733),tensor(0.0782),tensor(0.0901),tensor(0.0601),tensor(0.0769),tensor(0.0924),tensor(0.0555),tensor(0.0824),tensor(0.0913),tensor(0.0562),tensor(0.0833),tensor(0.0769),tensor(0.0900),tensor(0.0840),tensor(0.0736)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1474),tensor(0.1422),tensor(0.1329),tensor(0.1257),tensor(0.1503),tensor(0.1649),tensor(0.1374),tensor(0.1499),tensor(0.1427),tensor(0.1539),tensor(0.1362),tensor(0.1342),tensor(0.1503),tensor(0.1275),tensor(0.1483),tensor(0.1658),tensor(0.1414),tensor(0.1376),tensor(0.1486),tensor(0.1493),tensor(0.1553),tensor(0.1541),tensor(0.1368),tensor(0.1529),tensor(0.1507),tensor(0.1510),tensor(0.1525),tensor(0.1556),tensor(0.1495),tensor(0.1480),tensor(0.1418)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.1101),tensor(0.1055),tensor(0.0957),tensor(0.1361),tensor(0.1200),tensor(0.1318),tensor(0.0994),tensor(0.1231),tensor(0.1060),tensor(0.1159),tensor(0.1095),tensor(0.0966),tensor(0.1108),tensor(0.1367),tensor(0.1358),tensor(0.1328),tensor(0.1042),tensor(0.0994),tensor(0.1094),tensor(0.1205),tensor(0.1213),tensor(0.1161),tensor(0.1089),tensor(0.1179),tensor(0.1110),tensor(0.1349),tensor(0.1170),tensor(0.1213),tensor(0.1102),tensor(0.1105),tensor(0.1043)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2294),tensor(0.2234),tensor(0.2231),tensor(0.1261),tensor(0.2052),tensor(0.2268),tensor(0.2280),tensor(0.2030),tensor(0.2240),tensor(0.2342),tensor(0.1902),tensor(0.2248),tensor(0.2391),tensor(0.1296),tensor(0.1744),tensor(0.2273),tensor(0.2268),tensor(0.2285),tensor(0.2374),tensor(0.2058),tensor(0.2223),tensor(0.2344),tensor(0.1939),tensor(0.2254),tensor(0.2401),tensor(0.1822),tensor(0.2265),tensor(0.2233),tensor(0.2380),tensor(0.2307),tensor(0.2279)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2312),tensor(0.2184),tensor(0.2115),tensor(0.1753),tensor(0.2479),tensor(0.2566),tensor(0.2156),tensor(0.2306),tensor(0.2182),tensor(0.2386),tensor(0.2175),tensor(0.2116),tensor(0.2393),tensor(0.1782),tensor(0.2222),tensor(0.2572),tensor(0.2147),tensor(0.2164),tensor(0.2310),tensor(0.2292),tensor(0.2376),tensor(0.2381),tensor(0.2155),tensor(0.2401),tensor(0.2382),tensor(0.2265),tensor(0.2385),tensor(0.2377),tensor(0.2335),tensor(0.2316),tensor(0.2147)
