,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.2600),tensor(0.2433),tensor(0.2402),tensor(0.2138),tensor(0.2860),tensor(0.2893),tensor(0.2394),tensor(0.2534),tensor(0.2431),tensor(0.2619),tensor(0.2461),tensor(0.2410),tensor(0.2623),tensor(0.2212),tensor(0.2703),tensor(0.2897),tensor(0.2456),tensor(0.2394),tensor(0.2534),tensor(0.2541),tensor(0.2723),tensor(0.2609),tensor(0.2485),tensor(0.2700),tensor(0.2627),tensor(0.2724),tensor(0.2692),tensor(0.2719),tensor(0.2533),tensor(0.2596),tensor(0.2455)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.1775),tensor(0.1648),tensor(0.1590),tensor(0.1972),tensor(0.2047),tensor(0.2069),tensor(0.1592),tensor(0.1861),tensor(0.1647),tensor(0.1795),tensor(0.1775),tensor(0.1597),tensor(0.1771),tensor(0.1998),tensor(0.2140),tensor(0.2062),tensor(0.1660),tensor(0.1592),tensor(0.1704),tensor(0.1831),tensor(0.1922),tensor(0.1788),tensor(0.1777),tensor(0.1889),tensor(0.1774),tensor(0.2137),tensor(0.1880),tensor(0.1914),tensor(0.1703),tensor(0.1773),tensor(0.1658)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4988),tensor(0.4751),tensor(0.5009),tensor(0.2570),tensor(0.4837),tensor(0.4946),tensor(0.4927),tensor(0.4180),tensor(0.4748),tensor(0.4942),tensor(0.4218),tensor(0.5014),tensor(0.5163),tensor(0.2676),tensor(0.3874),tensor(0.4976),tensor(0.4854),tensor(0.4932),tensor(0.5050),tensor(0.4337),tensor(0.4787),tensor(0.4929),tensor(0.4320),tensor(0.4898),tensor(0.5164),tensor(0.3957),tensor(0.4899),tensor(0.4807),tensor(0.5044),tensor(0.4980),tensor(0.4864)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0608),tensor(0.0529),tensor(0.0529),tensor(0.0367),tensor(0.0588),tensor(0.0711),tensor(0.0537),tensor(0.0521),tensor(0.0525),tensor(0.0617),tensor(0.0470),tensor(0.0538),tensor(0.0635),tensor(0.0377),tensor(0.0564),tensor(0.0707),tensor(0.0552),tensor(0.0529),tensor(0.0599),tensor(0.0526),tensor(0.0616),tensor(0.0609),tensor(0.0488),tensor(0.0658),tensor(0.0633),tensor(0.0575),tensor(0.0657),tensor(0.0612),tensor(0.0599),tensor(0.0605),tensor(0.0553)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0417),tensor(0.0359),tensor(0.0350),tensor(0.0323),tensor(0.0421),tensor(0.0506),tensor(0.0358),tensor(0.0387),tensor(0.0356),tensor(0.0424),tensor(0.0339),tensor(0.0357),tensor(0.0429),tensor(0.0333),tensor(0.0446),tensor(0.0502),tensor(0.0375),tensor(0.0353),tensor(0.0403),tensor(0.0380),tensor(0.0435),tensor(0.0417),tensor(0.0350),tensor(0.0463),tensor(0.0428),tensor(0.0451),tensor(0.0461),tensor(0.0431),tensor(0.0403),tensor(0.0415),tensor(0.0376)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.1155),tensor(0.1032),tensor(0.1107),tensor(0.0454),tensor(0.0994),tensor(0.1227),tensor(0.1100),tensor(0.0850),tensor(0.1025),tensor(0.1162),tensor(0.0803),tensor(0.1122),tensor(0.1250),tensor(0.0466),tensor(0.0813),tensor(0.1221),tensor(0.1078),tensor(0.1087),tensor(0.1194),tensor(0.0893),tensor(0.1081),tensor(0.1148),tensor(0.0843),tensor(0.1180),tensor(0.1245),tensor(0.0839),tensor(0.1184),tensor(0.1082),tensor(0.1194),tensor(0.1151),tensor(0.1081)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1361),tensor(0.1293),tensor(0.1250),tensor(0.1316),tensor(0.1429),tensor(0.1529),tensor(0.1271),tensor(0.1394),tensor(0.1297),tensor(0.1387),tensor(0.1321),tensor(0.1247),tensor(0.1392),tensor(0.1345),tensor(0.1520),tensor(0.1521),tensor(0.1297),tensor(0.1259),tensor(0.1316),tensor(0.1396),tensor(0.1443),tensor(0.1385),tensor(0.1338),tensor(0.1437),tensor(0.1395),tensor(0.1529),tensor(0.1436),tensor(0.1444),tensor(0.1316),tensor(0.1357),tensor(0.1292)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.0929),tensor(0.0876),tensor(0.0827),tensor(0.1228),tensor(0.1021),tensor(0.1094),tensor(0.0845),tensor(0.1027),tensor(0.0879),tensor(0.0951),tensor(0.0955),tensor(0.0825),tensor(0.0939),tensor(0.1222),tensor(0.1206),tensor(0.1082),tensor(0.0877),tensor(0.0837),tensor(0.0885),tensor(0.1008),tensor(0.1018),tensor(0.0949),tensor(0.0959),tensor(0.1006),tensor(0.0941),tensor(0.1202),tensor(0.1004),tensor(0.1016),tensor(0.0885),tensor(0.0927),tensor(0.0873)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2612),tensor(0.2525),tensor(0.2617),tensor(0.1566),tensor(0.2423),tensor(0.2615),tensor(0.2617),tensor(0.2291),tensor(0.2531),tensor(0.2622),tensor(0.2260),tensor(0.2608),tensor(0.2750),tensor(0.1615),tensor(0.2174),tensor(0.2616),tensor(0.2562),tensor(0.2597),tensor(0.2623),tensor(0.2375),tensor(0.2536),tensor(0.2618),tensor(0.2317),tensor(0.2605),tensor(0.2752),tensor(0.2217),tensor(0.2610),tensor(0.2553),tensor(0.2622),tensor(0.2604),tensor(0.2557)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2250),tensor(0.2062),tensor(0.2039),tensor(0.1918),tensor(0.2425),tensor(0.2528),tensor(0.2047),tensor(0.2204),tensor(0.2068),tensor(0.2274),tensor(0.2116),tensor(0.2047),tensor(0.2249),tensor(0.1966),tensor(0.2372),tensor(0.2515),tensor(0.2105),tensor(0.2045),tensor(0.2160),tensor(0.2198),tensor(0.2344),tensor(0.2269),tensor(0.2140),tensor(0.2362),tensor(0.2251),tensor(0.2391),tensor(0.2353),tensor(0.2344),tensor(0.2159),tensor(0.2254),tensor(0.2114)
