,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
1793,tensor(0.4293),tensor(0.8723),tensor(0.2847),tensor(0.3598),tensor(0.7391),tensor(0.2378),tensor(0.3874),tensor(0.7872),tensor(0.2569),tensor(0.4188),tensor(0.8511),tensor(0.2778)
1794,tensor(0.4662),tensor(0.6596),tensor(0.3605),tensor(0.3664),tensor(0.5217),tensor(0.2824),tensor(0.3910),tensor(0.5532),tensor(0.3023),tensor(0.4060),tensor(0.5745),tensor(0.3140)
1795,tensor(0.0962),tensor(0.4348),tensor(0.0541),tensor(0.0097),tensor(0.0455),tensor(0.0054),tensor(0.0481),tensor(0.2174),tensor(0.0270),tensor(0.0385),tensor(0.1739),tensor(0.0216)
1796,tensor(0.3651),tensor(0.6216),tensor(0.2584),tensor(0.2419),tensor(0.4167),tensor(0.1705),tensor(0.2540),tensor(0.4324),tensor(0.1798),tensor(0.3333),tensor(0.5676),tensor(0.2360)
1797,tensor(0.4889),tensor(0.5893),tensor(0.4177),tensor(0.4060),tensor(0.4909),tensor(0.3462),tensor(0.4148),tensor(0.5000),tensor(0.3544),tensor(0.4593),tensor(0.5536),tensor(0.3924)
1798,tensor(0.3529),tensor(0.9600),tensor(0.2162),tensor(0.3111),tensor(0.8571),tensor(0.1900),tensor(0.3382),tensor(0.9200),tensor(0.2072),tensor(0.3529),tensor(0.9600),tensor(0.2162)
1799,tensor(0.6928),tensor(1.),tensor(0.5300),tensor(0.6887),tensor(1.),tensor(0.5253),tensor(0.6928),tensor(1.),tensor(0.5300),tensor(0.6928),tensor(1.),tensor(0.5300)
1800,tensor(0.1635),tensor(0.5862),tensor(0.0950),tensor(0.1262),tensor(0.4643),tensor(0.0730),tensor(0.1346),tensor(0.4828),tensor(0.0782),tensor(0.1635),tensor(0.5862),tensor(0.0950)
1801,tensor(0.1265),tensor(1.),tensor(0.0675),tensor(0.1195),tensor(1.),tensor(0.0636),tensor(0.1265),tensor(1.),tensor(0.0675),tensor(0.1265),tensor(1.),tensor(0.0675)
1802,tensor(0.1265),tensor(1.),tensor(0.0675),tensor(0.1195),tensor(1.),tensor(0.0636),tensor(0.1265),tensor(1.),tensor(0.0675),tensor(0.1265),tensor(1.),tensor(0.0675)
1803,tensor(0.0833),tensor(0.9655),tensor(0.0435),tensor(0.0657),tensor(0.7857),tensor(0.0343),tensor(0.0804),tensor(0.9310),tensor(0.0420),tensor(0.0774),tensor(0.8966),tensor(0.0404)
1804,tensor(0.2716),tensor(0.5366),tensor(0.1818),tensor(0.0750),tensor(0.1500),tensor(0.0500),tensor(0.1975),tensor(0.3902),tensor(0.1322),tensor(0.2346),tensor(0.4634),tensor(0.1570)
1805,tensor(0.1655),tensor(1.),tensor(0.0902),tensor(0.1528),tensor(0.9565),tensor(0.0830),tensor(0.1034),tensor(0.6250),tensor(0.0564),tensor(0.1655),tensor(1.),tensor(0.0902)
1806,tensor(0.4490),tensor(0.5789),tensor(0.3667),tensor(0.3862),tensor(0.5000),tensor(0.3146),tensor(0.4354),tensor(0.5614),tensor(0.3556),tensor(0.4218),tensor(0.5439),tensor(0.3444)
1807,tensor(0.1790),tensor(0.8056),tensor(0.1007),tensor(0.1491),tensor(0.6857),tensor(0.0836),tensor(0.1667),tensor(0.7500),tensor(0.0938),tensor(0.1667),tensor(0.7500),tensor(0.0938)
1808,tensor(0.1202),tensor(0.2821),tensor(0.0764),tensor(0.0221),tensor(0.0526),tensor(0.0140),tensor(0.0765),tensor(0.1795),tensor(0.0486),tensor(0.0984),tensor(0.2308),tensor(0.0625)
1809,tensor(0.6034),tensor(0.8060),tensor(0.4821),tensor(0.5311),tensor(0.7121),tensor(0.4234),tensor(0.5587),tensor(0.7463),tensor(0.4464),tensor(0.5587),tensor(0.7463),tensor(0.4464)
1810,tensor(0.3611),tensor(0.4815),tensor(0.2889),tensor(0.3143),tensor(0.4231),tensor(0.2500),tensor(0.3333),tensor(0.4444),tensor(0.2667),tensor(0.3611),tensor(0.4815),tensor(0.2889)
1811,tensor(0.2177),tensor(0.3404),tensor(0.1600),tensor(0.0138),tensor(0.0217),tensor(0.0101),tensor(0.1088),tensor(0.1702),tensor(0.0800),tensor(0.1905),tensor(0.2979),tensor(0.1400)
1812,tensor(0.1633),tensor(0.4848),tensor(0.0982),tensor(0.0103),tensor(0.0312),tensor(0.0062),tensor(0.1020),tensor(0.3030),tensor(0.0613),tensor(0.1429),tensor(0.4242),tensor(0.0859)
1813,tensor(0.4959),tensor(0.6977),tensor(0.3846),tensor(0.4538),tensor(0.6429),tensor(0.3506),tensor(0.4628),tensor(0.6512),tensor(0.3590),tensor(0.4793),tensor(0.6744),tensor(0.3718)
1814,tensor(0.0809),tensor(0.4118),tensor(0.0449),tensor(0.),tensor(0.),tensor(0.),tensor(0.0462),tensor(0.2353),tensor(0.0256),tensor(0.0694),tensor(0.3529),tensor(0.0385)
1815,tensor(0.2993),tensor(0.5641),tensor(0.2037),tensor(0.2345),tensor(0.4474),tensor(0.1589),tensor(0.2449),tensor(0.4615),tensor(0.1667),tensor(0.2993),tensor(0.5641),tensor(0.2037)
1816,tensor(0.2062),tensor(0.2222),tensor(0.1923),tensor(0.),tensor(0.),tensor(0.),tensor(0.1031),tensor(0.1111),tensor(0.0962),tensor(0.1856),tensor(0.2000),tensor(0.1731)
1817,tensor(0.1120),tensor(0.1892),tensor(0.0795),tensor(0.),tensor(0.),tensor(0.),tensor(0.0800),tensor(0.1351),tensor(0.0568),tensor(0.0960),tensor(0.1622),tensor(0.0682)
1818,tensor(0.4259),tensor(0.4600),tensor(0.3966),tensor(0.3208),tensor(0.3469),tensor(0.2982),tensor(0.4074),tensor(0.4400),tensor(0.3793),tensor(0.4074),tensor(0.4400),tensor(0.3793)
1819,tensor(0.5128),tensor(1.),tensor(0.3448),tensor(0.4935),tensor(0.9744),tensor(0.3304),tensor(0.2949),tensor(0.5750),tensor(0.1983),tensor(0.3333),tensor(0.6500),tensor(0.2241)
1820,tensor(0.4902),tensor(0.7353),tensor(0.3676),tensor(0.4200),tensor(0.6364),tensor(0.3134),tensor(0.4706),tensor(0.7059),tensor(0.3529),tensor(0.4510),tensor(0.6765),tensor(0.3382)
1821,tensor(0.2185),tensor(0.6842),tensor(0.1300),tensor(0.1368),tensor(0.4444),tensor(0.0808),tensor(0.1681),tensor(0.5263),tensor(0.1000),tensor(0.2017),tensor(0.6316),tensor(0.1200)
1822,tensor(0.3487),tensor(0.6667),tensor(0.2361),tensor(0.2383),tensor(0.4600),tensor(0.1608),tensor(0.2462),tensor(0.4706),tensor(0.1667),tensor(0.2462),tensor(0.4706),tensor(0.1667)
1823,tensor(0.3399),tensor(0.7429),tensor(0.2203),tensor(0.2384),tensor(0.5294),tensor(0.1538),tensor(0.2614),tensor(0.5714),tensor(0.1695),tensor(0.3007),tensor(0.6571),tensor(0.1949)
1824,tensor(0.3268),tensor(1.),tensor(0.1953),tensor(0.3173),tensor(0.9825),tensor(0.1892),tensor(0.3268),tensor(1.),tensor(0.1953),tensor(0.3268),tensor(1.),tensor(0.1953)
1825,tensor(0.2412),tensor(0.5455),tensor(0.1548),tensor(0.0711),tensor(0.1628),tensor(0.0455),tensor(0.1407),tensor(0.3182),tensor(0.0903),tensor(0.1508),tensor(0.3409),tensor(0.0968)
1826,tensor(0.3008),tensor(0.3636),tensor(0.2564),tensor(0.0611),tensor(0.0741),tensor(0.0519),tensor(0.1955),tensor(0.2364),tensor(0.1667),tensor(0.1955),tensor(0.2364),tensor(0.1667)
1827,tensor(0.3016),tensor(1.),tensor(0.1776),tensor(0.2960),tensor(1.),tensor(0.1737),tensor(0.3016),tensor(1.),tensor(0.1776),tensor(0.3016),tensor(1.),tensor(0.1776)
1828,tensor(0.1474),tensor(0.6829),tensor(0.0826),tensor(0.0688),tensor(0.3250),tensor(0.0385),tensor(0.1263),tensor(0.5854),tensor(0.0708),tensor(0.1263),tensor(0.5854),tensor(0.0708)
1829,tensor(0.2957),tensor(0.9273),tensor(0.1759),tensor(0.2741),tensor(0.8704),tensor(0.1626),tensor(0.1971),tensor(0.6182),tensor(0.1172),tensor(0.2957),tensor(0.9273),tensor(0.1759)
1830,tensor(0.2034),tensor(0.6667),tensor(0.1200),tensor(0.1552),tensor(0.5294),tensor(0.0909),tensor(0.2034),tensor(0.6667),tensor(0.1200),tensor(0.2034),tensor(0.6667),tensor(0.1200)
1831,tensor(0.1560),tensor(1.),tensor(0.0846),tensor(0.1295),tensor(0.9000),tensor(0.0698),tensor(0.1560),tensor(1.),tensor(0.0846),tensor(0.1560),tensor(1.),tensor(0.0846)
1832,tensor(0.0353),tensor(0.7500),tensor(0.0181),tensor(0.0118),tensor(0.2667),tensor(0.0060),tensor(0.0206),tensor(0.4375),tensor(0.0105),tensor(0.0265),tensor(0.5625),tensor(0.0136)
1833,tensor(0.2887),tensor(0.8367),tensor(0.1745),tensor(0.2553),tensor(0.7500),tensor(0.1538),tensor(0.2817),tensor(0.8163),tensor(0.1702),tensor(0.2817),tensor(0.8163),tensor(0.1702)
1834,tensor(0.3374),tensor(1.),tensor(0.2030),tensor(0.3272),tensor(0.9815),tensor(0.1963),tensor(0.3374),tensor(1.),tensor(0.2030),tensor(0.3374),tensor(1.),tensor(0.2030)
1835,tensor(0.5190),tensor(0.7885),tensor(0.3868),tensor(0.3333),tensor(0.5098),tensor(0.2476),tensor(0.3418),tensor(0.5192),tensor(0.2547),tensor(0.3418),tensor(0.5192),tensor(0.2547)
1836,tensor(0.1973),tensor(0.7250),tensor(0.1142),tensor(0.1164),tensor(0.4359),tensor(0.0672),tensor(0.1429),tensor(0.5250),tensor(0.0827),tensor(0.1837),tensor(0.6750),tensor(0.1063)
1837,tensor(0.4509),tensor(1.),tensor(0.2910),tensor(0.4327),tensor(0.9737),tensor(0.2782),tensor(0.4509),tensor(1.),tensor(0.2910),tensor(0.4509),tensor(1.),tensor(0.2910)
1838,tensor(0.3537),tensor(0.6591),tensor(0.2417),tensor(0.2469),tensor(0.4651),tensor(0.1681),tensor(0.3171),tensor(0.5909),tensor(0.2167),tensor(0.3049),tensor(0.5682),tensor(0.2083)
1839,tensor(0.1981),tensor(0.7736),tensor(0.1136),tensor(0.1019),tensor(0.4038),tensor(0.0583),tensor(0.1304),tensor(0.5094),tensor(0.0748),tensor(0.1643),tensor(0.6415),tensor(0.0942)
1840,tensor(0.2222),tensor(0.7179),tensor(0.1315),tensor(0.1040),tensor(0.3421),tensor(0.0613),tensor(0.1825),tensor(0.5897),tensor(0.1080),tensor(0.1905),tensor(0.6154),tensor(0.1127)
1841,tensor(0.2812),tensor(0.7941),tensor(0.1709),tensor(0.2105),tensor(0.6061),tensor(0.1274),tensor(0.2396),tensor(0.6765),tensor(0.1456),tensor(0.2396),tensor(0.6765),tensor(0.1456)
1842,tensor(0.3623),tensor(1.),tensor(0.2212),tensor(0.3504),tensor(0.9796),tensor(0.2133),tensor(0.2391),tensor(0.6600),tensor(0.1460),tensor(0.2391),tensor(0.6600),tensor(0.1460)
1843,tensor(0.1562),tensor(0.5556),tensor(0.0909),tensor(0.0236),tensor(0.0857),tensor(0.0137),tensor(0.1016),tensor(0.3611),tensor(0.0591),tensor(0.1016),tensor(0.3611),tensor(0.0591)
1844,tensor(0.0412),tensor(0.2105),tensor(0.0229),tensor(0.),tensor(0.),tensor(0.),tensor(0.0412),tensor(0.2105),tensor(0.0229),tensor(0.0412),tensor(0.2105),tensor(0.0229)
1845,tensor(0.2192),tensor(0.4324),tensor(0.1468),tensor(0.),tensor(0.),tensor(0.),tensor(0.1370),tensor(0.2703),tensor(0.0917),tensor(0.1370),tensor(0.2703),tensor(0.0917)
1846,tensor(0.3843),tensor(1.),tensor(0.2379),tensor(0.3715),tensor(0.9792),tensor(0.2293),tensor(0.2980),tensor(0.7755),tensor(0.1845),tensor(0.2980),tensor(0.7755),tensor(0.1845)
1847,tensor(0.4138),tensor(0.7317),tensor(0.2885),tensor(0.2937),tensor(0.5250),tensor(0.2039),tensor(0.3724),tensor(0.6585),tensor(0.2596),tensor(0.3724),tensor(0.6585),tensor(0.2596)
1848,tensor(0.3906),tensor(0.5814),tensor(0.2941),tensor(0.2063),tensor(0.3095),tensor(0.1548),tensor(0.2969),tensor(0.4419),tensor(0.2235),tensor(0.2969),tensor(0.4419),tensor(0.2235)
1849,tensor(0.2661),tensor(0.7500),tensor(0.1618),tensor(0.1789),tensor(0.5116),tensor(0.1084),tensor(0.1935),tensor(0.5455),tensor(0.1176),tensor(0.2097),tensor(0.5909),tensor(0.1275)
1850,tensor(0.1606),tensor(0.5366),tensor(0.0944),tensor(0.0368),tensor(0.1250),tensor(0.0216),tensor(0.1022),tensor(0.3415),tensor(0.0601),tensor(0.1022),tensor(0.3415),tensor(0.0601)
1851,tensor(0.2431),tensor(0.5962),tensor(0.1527),tensor(0.1660),tensor(0.4118),tensor(0.1040),tensor(0.2275),tensor(0.5577),tensor(0.1429),tensor(0.2196),tensor(0.5385),tensor(0.1379)
1852,tensor(0.2254),tensor(0.7059),tensor(0.1341),tensor(0.1706),tensor(0.5455),tensor(0.1011),tensor(0.1596),tensor(0.5000),tensor(0.0950),tensor(0.2066),tensor(0.6471),tensor(0.1229)
1853,tensor(0.4043),tensor(0.6909),tensor(0.2857),tensor(0.3548),tensor(0.6111),tensor(0.2500),tensor(0.3830),tensor(0.6545),tensor(0.2707),tensor(0.3830),tensor(0.6545),tensor(0.2707)
1854,tensor(0.2398),tensor(1.),tensor(0.1363),tensor(0.2327),tensor(0.9828),tensor(0.1319),tensor(0.1504),tensor(0.6271),tensor(0.0855),tensor(0.2398),tensor(1.),tensor(0.1363)
1855,tensor(0.2741),tensor(0.6667),tensor(0.1725),tensor(0.1634),tensor(0.4000),tensor(0.1027),tensor(0.1970),tensor(0.4792),tensor(0.1240),tensor(0.2184),tensor(0.5312),tensor(0.1375)
