Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luhn lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
tensor(0.0359),tensor(1.),tensor(0.2952),tensor(0.2732),tensor(0.2677),tensor(0.2355),tensor(0.3042),tensor(0.3208),tensor(0.2697),tensor(0.2809),tensor(0.2733),tensor(0.2978),tensor(0.2673),tensor(0.2698),tensor(0.2968),tensor(0.2419),tensor(0.2924),tensor(0.3190),tensor(0.2729),tensor(0.2683),tensor(0.2902),tensor(0.2777),tensor(0.2969),tensor(0.2998),tensor(0.2698),tensor(0.2942),tensor(0.2992),tensor(0.2920),tensor(0.2933),tensor(0.2971),tensor(0.2890),tensor(0.2956),tensor(0.2734)
tensor(0.0184),tensor(1.),tensor(0.2210),tensor(0.2036),tensor(0.1930),tensor(0.2447),tensor(0.2426),tensor(0.2566),tensor(0.1954),tensor(0.2275),tensor(0.2032),tensor(0.2257),tensor(0.2131),tensor(0.1945),tensor(0.2194),tensor(0.2440),tensor(0.2605),tensor(0.2546),tensor(0.2008),tensor(0.1943),tensor(0.2139),tensor(0.2228),tensor(0.2324),tensor(0.2274),tensor(0.2141),tensor(0.2281),tensor(0.2215),tensor(0.2569),tensor(0.2266),tensor(0.2321),tensor(0.2129),tensor(0.2218),tensor(0.2012)
tensor(0.8958),tensor(1.),tensor(0.4547),tensor(0.4247),tensor(0.4464),tensor(0.2407),tensor(0.4182),tensor(0.4389),tensor(0.4441),tensor(0.3837),tensor(0.4267),tensor(0.4474),tensor(0.3785),tensor(0.4494),tensor(0.4684),tensor(0.2519),tensor(0.3508),tensor(0.4381),tensor(0.4365),tensor(0.4423),tensor(0.4596),tensor(0.3872),tensor(0.4230),tensor(0.4507),tensor(0.3847),tensor(0.4289),tensor(0.4704),tensor(0.3566),tensor(0.4297),tensor(0.4240),tensor(0.4581),tensor(0.4533),tensor(0.4373)
tensor(0.0180),tensor(1.),tensor(0.0669),tensor(0.0581),tensor(0.0484),tensor(0.0457),tensor(0.0551),tensor(0.0725),tensor(0.0580),tensor(0.0588),tensor(0.0577),tensor(0.0667),tensor(0.0523),tensor(0.0484),tensor(0.0650),tensor(0.0456),tensor(0.0599),tensor(0.0718),tensor(0.0578),tensor(0.0566),tensor(0.0637),tensor(0.0565),tensor(0.0657),tensor(0.0672),tensor(0.0522),tensor(0.0643),tensor(0.0657),tensor(0.0596),tensor(0.0640),tensor(0.0654),tensor(0.0638),tensor(0.0667),tensor(0.0572)
tensor(0.0092),tensor(1.),tensor(0.0500),tensor(0.0431),tensor(0.0348),tensor(0.0464),tensor(0.0440),tensor(0.0576),tensor(0.0418),tensor(0.0475),tensor(0.0427),tensor(0.0503),tensor(0.0420),tensor(0.0348),tensor(0.0478),tensor(0.0447),tensor(0.0529),tensor(0.0569),tensor(0.0424),tensor(0.0408),tensor(0.0468),tensor(0.0452),tensor(0.0513),tensor(0.0507),tensor(0.0417),tensor(0.0497),tensor(0.0484),tensor(0.0521),tensor(0.0493),tensor(0.0510),tensor(0.0469),tensor(0.0500),tensor(0.0420)
tensor(0.4555),tensor(1.),tensor(0.1031),tensor(0.0910),tensor(0.0809),tensor(0.0477),tensor(0.0758),tensor(0.1004),tensor(0.0962),tensor(0.0807),tensor(0.0910),tensor(0.1009),tensor(0.0732),tensor(0.0810),tensor(0.1037),tensor(0.0485),tensor(0.0729),tensor(0.0996),tensor(0.0925),tensor(0.0941),tensor(0.1016),tensor(0.0790),tensor(0.0937),tensor(0.1019),tensor(0.0735),tensor(0.0939),tensor(0.1044),tensor(0.0739),tensor(0.0939),tensor(0.0935),tensor(0.1017),tensor(0.1022),tensor(0.0917)
tensor(0.0263),tensor(1.),tensor(0.1545),tensor(0.1459),tensor(0.1314),tensor(0.1467),tensor(0.1506),tensor(0.1625),tensor(0.1389),tensor(0.1595),tensor(0.1465),tensor(0.1568),tensor(0.1469),tensor(0.1334),tensor(0.1515),tensor(0.1505),tensor(0.1644),tensor(0.1610),tensor(0.1446),tensor(0.1381),tensor(0.1484),tensor(0.1584),tensor(0.1615),tensor(0.1565),tensor(0.1486),tensor(0.1573),tensor(0.1516),tensor(0.1624),tensor(0.1574),tensor(0.1608),tensor(0.1471),tensor(0.1547),tensor(0.1447)
tensor(0.0135),tensor(1.),tensor(0.1157),tensor(0.1089),tensor(0.0946),tensor(0.1552),tensor(0.1200),tensor(0.1298),tensor(0.1006),tensor(0.1294),tensor(0.1091),tensor(0.1189),tensor(0.1176),tensor(0.0960),tensor(0.1118),tensor(0.1537),tensor(0.1482),tensor(0.1282),tensor(0.1063),tensor(0.1000),tensor(0.1093),tensor(0.1274),tensor(0.1266),tensor(0.1188),tensor(0.1183),tensor(0.1220),tensor(0.1121),tensor(0.1448),tensor(0.1218),tensor(0.1257),tensor(0.1084),tensor(0.1161),tensor(0.1064)
tensor(0.6640),tensor(1.),tensor(0.2378),tensor(0.2258),tensor(0.2201),tensor(0.1482),tensor(0.2073),tensor(0.2228),tensor(0.2289),tensor(0.2173),tensor(0.2281),tensor(0.2353),tensor(0.2068),tensor(0.2232),tensor(0.2397),tensor(0.1555),tensor(0.1955),tensor(0.2218),tensor(0.2313),tensor(0.2276),tensor(0.2352),tensor(0.2194),tensor(0.2296),tensor(0.2347),tensor(0.2109),tensor(0.2293),tensor(0.2390),tensor(0.1964),tensor(0.2302),tensor(0.2293),tensor(0.2332),tensor(0.2372),tensor(0.2313)
tensor(0.0350),tensor(1.),tensor(0.2480),tensor(0.2275),tensor(0.2213),tensor(0.2080),tensor(0.2508),tensor(0.2677),tensor(0.2240),tensor(0.2457),tensor(0.2279),tensor(0.2498),tensor(0.2324),tensor(0.2232),tensor(0.2463),tensor(0.2124),tensor(0.2542),tensor(0.2669),tensor(0.2289),tensor(0.2225),tensor(0.2393),tensor(0.2420),tensor(0.2530),tensor(0.2495),tensor(0.2332),tensor(0.2495),tensor(0.2482),tensor(0.2533),tensor(0.2491),tensor(0.2530),tensor(0.2381),tensor(0.2475),tensor(0.2286)
