rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
tensor(0.1829),tensor(0.3333),tensor(0.1261),tensor(0.0370),tensor(0.0682),tensor(0.0254),tensor(0.1341),tensor(0.2444),tensor(0.0924),tensor(0.1707),tensor(0.3111),tensor(0.1176)
tensor(0.1687),tensor(0.2333),tensor(0.1321),tensor(0.),tensor(0.),tensor(0.),tensor(0.0843),tensor(0.1167),tensor(0.0660),tensor(0.1687),tensor(0.2333),tensor(0.1321)
tensor(0.1575),tensor(0.4000),tensor(0.0980),tensor(0.),tensor(0.),tensor(0.),tensor(0.0945),tensor(0.2400),tensor(0.0588),tensor(0.1417),tensor(0.3600),tensor(0.0882)
tensor(0.2200),tensor(0.2340),tensor(0.2075),tensor(0.0303),tensor(0.0323),tensor(0.0286),tensor(0.1500),tensor(0.1596),tensor(0.1415),tensor(0.2200),tensor(0.2340),tensor(0.2075)
tensor(0.3800),tensor(0.4524),tensor(0.3276),tensor(0.1010),tensor(0.1205),tensor(0.0870),tensor(0.1700),tensor(0.2024),tensor(0.1466),tensor(0.3100),tensor(0.3690),tensor(0.2672)
tensor(0.2013),tensor(0.3846),tensor(0.1364),tensor(0.0136),tensor(0.0263),tensor(0.0092),tensor(0.1342),tensor(0.2564),tensor(0.0909),tensor(0.2013),tensor(0.3846),tensor(0.1364)
tensor(0.3230),tensor(0.4906),tensor(0.2407),tensor(0.0881),tensor(0.1346),tensor(0.0654),tensor(0.1615),tensor(0.2453),tensor(0.1204),tensor(0.2609),tensor(0.3962),tensor(0.1944)
tensor(0.3445),tensor(0.3462),tensor(0.3429),tensor(0.0483),tensor(0.0485),tensor(0.0481),tensor(0.1722),tensor(0.1731),tensor(0.1714),tensor(0.2679),tensor(0.2692),tensor(0.2667)
tensor(0.3284),tensor(0.3548),tensor(0.3056),tensor(0.0905),tensor(0.0978),tensor(0.0841),tensor(0.1791),tensor(0.1935),tensor(0.1667),tensor(0.2687),tensor(0.2903),tensor(0.2500)
tensor(0.1781),tensor(0.3939),tensor(0.1150),tensor(0.0139),tensor(0.0312),tensor(0.0089),tensor(0.0959),tensor(0.2121),tensor(0.0619),tensor(0.1507),tensor(0.3333),tensor(0.0973)
tensor(0.0476),tensor(0.1667),tensor(0.0278),tensor(0.),tensor(0.),tensor(0.),tensor(0.0476),tensor(0.1667),tensor(0.0278),tensor(0.0476),tensor(0.1667),tensor(0.0278)
tensor(0.1857),tensor(0.3611),tensor(0.1250),tensor(0.0725),tensor(0.1429),tensor(0.0485),tensor(0.1429),tensor(0.2778),tensor(0.0962),tensor(0.1714),tensor(0.3333),tensor(0.1154)
tensor(0.0851),tensor(0.2222),tensor(0.0526),tensor(0.0144),tensor(0.0385),tensor(0.0088),tensor(0.0709),tensor(0.1852),tensor(0.0439),tensor(0.0851),tensor(0.2222),tensor(0.0526)
tensor(0.3858),tensor(0.4130),tensor(0.3619),tensor(0.0923),tensor(0.0989),tensor(0.0865),tensor(0.2030),tensor(0.2174),tensor(0.1905),tensor(0.2538),tensor(0.2717),tensor(0.2381)
tensor(0.2619),tensor(0.3929),tensor(0.1964),tensor(0.),tensor(0.),tensor(0.),tensor(0.1310),tensor(0.1964),tensor(0.0982),tensor(0.2143),tensor(0.3214),tensor(0.1607)
tensor(0.0708),tensor(0.3333),tensor(0.0396),tensor(0.0180),tensor(0.0909),tensor(0.0100),tensor(0.0531),tensor(0.2500),tensor(0.0297),tensor(0.0708),tensor(0.3333),tensor(0.0396)
tensor(0.2375),tensor(0.3333),tensor(0.1845),tensor(0.0506),tensor(0.0714),tensor(0.0392),tensor(0.1375),tensor(0.1930),tensor(0.1068),tensor(0.2000),tensor(0.2807),tensor(0.1553)
tensor(0.3000),tensor(0.4286),tensor(0.2308),tensor(0.0380),tensor(0.0545),tensor(0.0291),tensor(0.1500),tensor(0.2143),tensor(0.1154),tensor(0.2500),tensor(0.3571),tensor(0.1923)
tensor(0.2486),tensor(0.3438),tensor(0.1947),tensor(0.0457),tensor(0.0635),tensor(0.0357),tensor(0.1469),tensor(0.2031),tensor(0.1150),tensor(0.1921),tensor(0.2656),tensor(0.1504)
