,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
108,tensor(0.1674),tensor(0.1022),tensor(0.4634),tensor(0.0444),tensor(0.0270),tensor(0.1250),tensor(0.1233),tensor(0.0753),tensor(0.3415),tensor(0.1586),tensor(0.0968),tensor(0.4390)
109,tensor(0.1152),tensor(0.0683),tensor(0.3684),tensor(0.0166),tensor(0.0098),tensor(0.0541),tensor(0.0741),tensor(0.0439),tensor(0.2368),tensor(0.0823),tensor(0.0488),tensor(0.2632)
110,tensor(0.2596),tensor(0.1617),tensor(0.6585),tensor(0.0583),tensor(0.0361),tensor(0.1500),tensor(0.1250),tensor(0.0778),tensor(0.3171),tensor(0.1731),tensor(0.1078),tensor(0.4390)
111,tensor(0.1399),tensor(0.0826),tensor(0.4545),tensor(0.0211),tensor(0.0124),tensor(0.0698),tensor(0.0909),tensor(0.0537),tensor(0.2955),tensor(0.1189),tensor(0.0702),tensor(0.3864)
112,tensor(0.1671),tensor(0.0964),tensor(0.6275),tensor(0.0472),tensor(0.0272),tensor(0.1800),tensor(0.0888),tensor(0.0512),tensor(0.3333),tensor(0.1462),tensor(0.0843),tensor(0.5490)
113,tensor(0.2368),tensor(0.1579),tensor(0.4737),tensor(0.1067),tensor(0.0708),tensor(0.2162),tensor(0.1447),tensor(0.0965),tensor(0.2895),tensor(0.1974),tensor(0.1316),tensor(0.3947)
114,tensor(0.1471),tensor(0.0920),tensor(0.3659),tensor(0.0198),tensor(0.0123),tensor(0.0500),tensor(0.0882),tensor(0.0552),tensor(0.2195),tensor(0.1373),tensor(0.0859),tensor(0.3415)
115,tensor(0.3453),tensor(0.2449),tensor(0.5854),tensor(0.1314),tensor(0.0928),tensor(0.2250),tensor(0.2014),tensor(0.1429),tensor(0.3415),tensor(0.3309),tensor(0.2347),tensor(0.5610)
116,tensor(0.4112),tensor(0.3099),tensor(0.6111),tensor(0.2286),tensor(0.1714),tensor(0.3429),tensor(0.2430),tensor(0.1831),tensor(0.3611),tensor(0.4112),tensor(0.3099),tensor(0.6111)
117,tensor(0.1948),tensor(0.1115),tensor(0.7692),tensor(0.1046),tensor(0.0597),tensor(0.4211),tensor(0.1234),tensor(0.0706),tensor(0.4872),tensor(0.1494),tensor(0.0855),tensor(0.5897)
118,tensor(0.1392),tensor(0.0806),tensor(0.5116),tensor(0.0255),tensor(0.0147),tensor(0.0952),tensor(0.0886),tensor(0.0513),tensor(0.3256),tensor(0.1076),tensor(0.0623),tensor(0.3953)
119,tensor(0.3492),tensor(0.2529),tensor(0.5641),tensor(0.1290),tensor(0.0930),tensor(0.2105),tensor(0.2698),tensor(0.1954),tensor(0.4359),tensor(0.3175),tensor(0.2299),tensor(0.5128)
120,tensor(0.1992),tensor(0.1214),tensor(0.5556),tensor(0.0482),tensor(0.0293),tensor(0.1364),tensor(0.1195),tensor(0.0728),tensor(0.3333),tensor(0.1594),tensor(0.0971),tensor(0.4444)
121,tensor(0.2185),tensor(0.1548),tensor(0.3714),tensor(0.0342),tensor(0.0241),tensor(0.0588),tensor(0.1345),tensor(0.0952),tensor(0.2286),tensor(0.1681),tensor(0.1190),tensor(0.2857)
122,tensor(0.2540),tensor(0.1569),tensor(0.6667),tensor(0.1176),tensor(0.0724),tensor(0.3143),tensor(0.1270),tensor(0.0784),tensor(0.3333),tensor(0.2328),tensor(0.1438),tensor(0.6111)
123,tensor(0.2020),tensor(0.1274),tensor(0.4878),tensor(0.0918),tensor(0.0577),tensor(0.2250),tensor(0.1313),tensor(0.0828),tensor(0.3171),tensor(0.1717),tensor(0.1083),tensor(0.4146)
124,tensor(0.0709),tensor(0.0398),tensor(0.3226),tensor(0.0071),tensor(0.0040),tensor(0.0333),tensor(0.0496),tensor(0.0279),tensor(0.2258),tensor(0.0638),tensor(0.0359),tensor(0.2903)
125,tensor(0.1278),tensor(0.0723),tensor(0.5476),tensor(0.0168),tensor(0.0095),tensor(0.0732),tensor(0.0611),tensor(0.0346),tensor(0.2619),tensor(0.1000),tensor(0.0566),tensor(0.4286)
126,tensor(0.1729),tensor(0.1004),tensor(0.6216),tensor(0.0682),tensor(0.0395),tensor(0.2500),tensor(0.1278),tensor(0.0742),tensor(0.4595),tensor(0.1504),tensor(0.0873),tensor(0.5405)
127,tensor(0.3295),tensor(0.2164),tensor(0.6905),tensor(0.0805),tensor(0.0526),tensor(0.1707),tensor(0.1932),tensor(0.1269),tensor(0.4048),tensor(0.2727),tensor(0.1791),tensor(0.5714)
128,tensor(0.0733),tensor(0.0395),tensor(0.5000),tensor(0.0053),tensor(0.0028),tensor(0.0370),tensor(0.0524),tensor(0.0282),tensor(0.3571),tensor(0.0681),tensor(0.0367),tensor(0.4643)
129,tensor(0.1600),tensor(0.1333),tensor(0.2000),tensor(0.),tensor(0.),tensor(0.),tensor(0.1200),tensor(0.1000),tensor(0.1500),tensor(0.1200),tensor(0.1000),tensor(0.1500)
130,tensor(0.1005),tensor(0.0543),tensor(0.6667),tensor(0.0404),tensor(0.0218),tensor(0.2759),tensor(0.0754),tensor(0.0408),tensor(0.5000),tensor(0.1005),tensor(0.0543),tensor(0.6667)
131,tensor(0.1108),tensor(0.0612),tensor(0.5882),tensor(0.0724),tensor(0.0399),tensor(0.3939),tensor(0.0609),tensor(0.0336),tensor(0.3235),tensor(0.1053),tensor(0.0581),tensor(0.5588)
132,tensor(0.1049),tensor(0.0579),tensor(0.5600),tensor(0.0451),tensor(0.0248),tensor(0.2449),tensor(0.0749),tensor(0.0413),tensor(0.4000),tensor(0.0974),tensor(0.0537),tensor(0.5200)
133,tensor(0.0902),tensor(0.0500),tensor(0.4583),tensor(0.0247),tensor(0.0137),tensor(0.1277),tensor(0.0574),tensor(0.0318),tensor(0.2917),tensor(0.0697),tensor(0.0386),tensor(0.3542)
134,tensor(0.1315),tensor(0.0734),tensor(0.6333),tensor(0.0348),tensor(0.0194),tensor(0.1724),tensor(0.0900),tensor(0.0502),tensor(0.4333),tensor(0.1038),tensor(0.0579),tensor(0.5000)
135,tensor(0.1381),tensor(0.0796),tensor(0.5227),tensor(0.0423),tensor(0.0243),tensor(0.1628),tensor(0.0601),tensor(0.0346),tensor(0.2273),tensor(0.1081),tensor(0.0623),tensor(0.4091)
136,tensor(0.2183),tensor(0.1286),tensor(0.7209),tensor(0.0638),tensor(0.0375),tensor(0.2143),tensor(0.1268),tensor(0.0747),tensor(0.4186),tensor(0.1761),tensor(0.1037),tensor(0.5814)
137,tensor(0.2008),tensor(0.1145),tensor(0.8125),tensor(0.1167),tensor(0.0664),tensor(0.4839),tensor(0.1467),tensor(0.0837),tensor(0.5938),tensor(0.1931),tensor(0.1101),tensor(0.7812)
138,tensor(0.3942),tensor(0.2812),tensor(0.6585),tensor(0.2519),tensor(0.1789),tensor(0.4250),tensor(0.3358),tensor(0.2396),tensor(0.5610),tensor(0.3942),tensor(0.2812),tensor(0.6585)
139,tensor(0.1111),tensor(0.0620),tensor(0.5349),tensor(0.0194),tensor(0.0108),tensor(0.0952),tensor(0.0531),tensor(0.0296),tensor(0.2558),tensor(0.0773),tensor(0.0431),tensor(0.3721)
140,tensor(0.3571),tensor(0.2778),tensor(0.5000),tensor(0.2439),tensor(0.1887),tensor(0.3448),tensor(0.3333),tensor(0.2593),tensor(0.4667),tensor(0.3095),tensor(0.2407),tensor(0.4333)
141,tensor(0.1309),tensor(0.0750),tensor(0.5143),tensor(0.0147),tensor(0.0084),tensor(0.0588),tensor(0.0727),tensor(0.0417),tensor(0.2857),tensor(0.1091),tensor(0.0625),tensor(0.4286)
142,tensor(0.4000),tensor(0.3448),tensor(0.4762),tensor(0.1020),tensor(0.0877),tensor(0.1220),tensor(0.2400),tensor(0.2069),tensor(0.2857),tensor(0.2800),tensor(0.2414),tensor(0.3333)
143,tensor(0.3492),tensor(0.2391),tensor(0.6471),tensor(0.1290),tensor(0.0879),tensor(0.2424),tensor(0.2857),tensor(0.1957),tensor(0.5294),tensor(0.3175),tensor(0.2174),tensor(0.5882)
144,tensor(0.2479),tensor(0.1554),tensor(0.6122),tensor(0.0750),tensor(0.0469),tensor(0.1875),tensor(0.1322),tensor(0.0829),tensor(0.3265),tensor(0.1983),tensor(0.1244),tensor(0.4898)
145,tensor(0.1429),tensor(0.0808),tensor(0.6170),tensor(0.0297),tensor(0.0168),tensor(0.1304),tensor(0.0788),tensor(0.0446),tensor(0.3404),tensor(0.1330),tensor(0.0752),tensor(0.5745)
146,tensor(0.3235),tensor(0.2157),tensor(0.6471),tensor(0.0896),tensor(0.0594),tensor(0.1818),tensor(0.1618),tensor(0.1078),tensor(0.3235),tensor(0.2353),tensor(0.1569),tensor(0.4706)
147,tensor(0.4234),tensor(0.3295),tensor(0.5918),tensor(0.1630),tensor(0.1264),tensor(0.2292),tensor(0.2482),tensor(0.1932),tensor(0.3469),tensor(0.3650),tensor(0.2841),tensor(0.5102)
148,tensor(0.1569),tensor(0.0927),tensor(0.5106),tensor(0.0395),tensor(0.0233),tensor(0.1304),tensor(0.1111),tensor(0.0656),tensor(0.3617),tensor(0.1438),tensor(0.0849),tensor(0.4681)
149,tensor(0.0962),tensor(0.0519),tensor(0.6452),tensor(0.0145),tensor(0.0078),tensor(0.1000),tensor(0.0577),tensor(0.0312),tensor(0.3871),tensor(0.0721),tensor(0.0390),tensor(0.4839)
150,tensor(0.2319),tensor(0.1509),tensor(0.5000),tensor(0.0588),tensor(0.0381),tensor(0.1290),tensor(0.1449),tensor(0.0943),tensor(0.3125),tensor(0.1739),tensor(0.1132),tensor(0.3750)
151,tensor(0.2602),tensor(0.1675),tensor(0.5818),tensor(0.0902),tensor(0.0579),tensor(0.2037),tensor(0.1789),tensor(0.1152),tensor(0.4000),tensor(0.2114),tensor(0.1361),tensor(0.4727)
152,tensor(0.2073),tensor(0.1307),tensor(0.5000),tensor(0.0419),tensor(0.0263),tensor(0.1026),tensor(0.1244),tensor(0.0784),tensor(0.3000),tensor(0.1347),tensor(0.0850),tensor(0.3250)
153,tensor(0.2115),tensor(0.1419),tensor(0.4151),tensor(0.0485),tensor(0.0325),tensor(0.0962),tensor(0.1250),tensor(0.0839),tensor(0.2453),tensor(0.1923),tensor(0.1290),tensor(0.3774)
154,tensor(0.1923),tensor(0.1107),tensor(0.7317),tensor(0.0387),tensor(0.0222),tensor(0.1500),tensor(0.1154),tensor(0.0664),tensor(0.4390),tensor(0.1795),tensor(0.1033),tensor(0.6829)
155,tensor(0.3333),tensor(0.2164),tensor(0.7250),tensor(0.1744),tensor(0.1128),tensor(0.3846),tensor(0.2529),tensor(0.1642),tensor(0.5500),tensor(0.2989),tensor(0.1940),tensor(0.6500)
156,tensor(0.1223),tensor(0.0711),tensor(0.4375),tensor(0.0352),tensor(0.0204),tensor(0.1290),tensor(0.0873),tensor(0.0508),tensor(0.3125),tensor(0.1223),tensor(0.0711),tensor(0.4375)
157,tensor(0.2291),tensor(0.1548),tensor(0.4407),tensor(0.0711),tensor(0.0479),tensor(0.1379),tensor(0.1850),tensor(0.1250),tensor(0.3559),tensor(0.2203),tensor(0.1488),tensor(0.4237)
158,tensor(0.2524),tensor(0.1566),tensor(0.6500),tensor(0.0980),tensor(0.0606),tensor(0.2564),tensor(0.1650),tensor(0.1024),tensor(0.4250),tensor(0.1845),tensor(0.1145),tensor(0.4750)
159,tensor(0.0781),tensor(0.0418),tensor(0.5882),tensor(0.0235),tensor(0.0126),tensor(0.1818),tensor(0.0469),tensor(0.0251),tensor(0.3529),tensor(0.0664),tensor(0.0356),tensor(0.5000)
160,tensor(0.2822),tensor(0.1797),tensor(0.6571),tensor(0.1615),tensor(0.1024),tensor(0.3824),tensor(0.2331),tensor(0.1484),tensor(0.5429),tensor(0.2822),tensor(0.1797),tensor(0.6571)
161,tensor(0.1404),tensor(0.0806),tensor(0.5405),tensor(0.0283),tensor(0.0162),tensor(0.1111),tensor(0.0632),tensor(0.0363),tensor(0.2432),tensor(0.1333),tensor(0.0766),tensor(0.5135)
162,tensor(0.2299),tensor(0.1471),tensor(0.5263),tensor(0.0465),tensor(0.0296),tensor(0.1081),tensor(0.1149),tensor(0.0735),tensor(0.2632),tensor(0.1609),tensor(0.1029),tensor(0.3684)
163,tensor(0.0894),tensor(0.0491),tensor(0.5000),tensor(0.0393),tensor(0.0215),tensor(0.2258),tensor(0.0615),tensor(0.0337),tensor(0.3438),tensor(0.0838),tensor(0.0460),tensor(0.4688)
164,tensor(0.3128),tensor(0.2121),tensor(0.5957),tensor(0.1130),tensor(0.0763),tensor(0.2174),tensor(0.1676),tensor(0.1136),tensor(0.3191),tensor(0.2682),tensor(0.1818),tensor(0.5106)
165,tensor(0.1646),tensor(0.0906),tensor(0.9000),tensor(0.1227),tensor(0.0673),tensor(0.6897),tensor(0.1341),tensor(0.0738),tensor(0.7333),tensor(0.1646),tensor(0.0906),tensor(0.9000)
166,tensor(0.1255),tensor(0.0733),tensor(0.4359),tensor(0.0149),tensor(0.0087),tensor(0.0526),tensor(0.0517),tensor(0.0302),tensor(0.1795),tensor(0.1181),tensor(0.0690),tensor(0.4103)
167,tensor(0.1456),tensor(0.0848),tensor(0.5135),tensor(0.0463),tensor(0.0269),tensor(0.1667),tensor(0.1149),tensor(0.0670),tensor(0.4054),tensor(0.1456),tensor(0.0848),tensor(0.5135)
168,tensor(0.0923),tensor(0.0652),tensor(0.1579),tensor(0.0312),tensor(0.0220),tensor(0.0541),tensor(0.0769),tensor(0.0543),tensor(0.1316),tensor(0.0923),tensor(0.0652),tensor(0.1579)
169,tensor(0.0800),tensor(0.0442),tensor(0.4194),tensor(0.0372),tensor(0.0205),tensor(0.2000),tensor(0.0738),tensor(0.0408),tensor(0.3871),tensor(0.0738),tensor(0.0408),tensor(0.3871)
170,tensor(0.3802),tensor(0.2771),tensor(0.6053),tensor(0.2689),tensor(0.1951),tensor(0.4324),tensor(0.2975),tensor(0.2169),tensor(0.4737),tensor(0.3802),tensor(0.2771),tensor(0.6053)
171,tensor(0.1684),tensor(0.0970),tensor(0.6400),tensor(0.0317),tensor(0.0182),tensor(0.1224),tensor(0.0789),tensor(0.0455),tensor(0.3000),tensor(0.1526),tensor(0.0879),tensor(0.5800)
172,tensor(0.1511),tensor(0.0917),tensor(0.4286),tensor(0.0290),tensor(0.0175),tensor(0.0833),tensor(0.1079),tensor(0.0655),tensor(0.3061),tensor(0.1295),tensor(0.0786),tensor(0.3673)
173,tensor(0.1631),tensor(0.0990),tensor(0.4634),tensor(0.0173),tensor(0.0105),tensor(0.0500),tensor(0.0944),tensor(0.0573),tensor(0.2683),tensor(0.1030),tensor(0.0625),tensor(0.2927)
174,tensor(0.1250),tensor(0.0824),tensor(0.2593),tensor(0.0364),tensor(0.0238),tensor(0.0769),tensor(0.0714),tensor(0.0471),tensor(0.1481),tensor(0.1071),tensor(0.0706),tensor(0.2222)
175,tensor(0.3200),tensor(0.2632),tensor(0.4082),tensor(0.1626),tensor(0.1333),tensor(0.2083),tensor(0.2240),tensor(0.1842),tensor(0.2857),tensor(0.2720),tensor(0.2237),tensor(0.3469)
176,tensor(0.1507),tensor(0.0917),tensor(0.4231),tensor(0.0278),tensor(0.0168),tensor(0.0800),tensor(0.0822),tensor(0.0500),tensor(0.2308),tensor(0.1507),tensor(0.0917),tensor(0.4231)
177,tensor(0.1795),tensor(0.1065),tensor(0.5714),tensor(0.0387),tensor(0.0229),tensor(0.1250),tensor(0.1090),tensor(0.0646),tensor(0.3469),tensor(0.1282),tensor(0.0760),tensor(0.4082)
178,tensor(0.3667),tensor(0.2340),tensor(0.8462),tensor(0.1910),tensor(0.1214),tensor(0.4474),tensor(0.2111),tensor(0.1348),tensor(0.4872),tensor(0.3222),tensor(0.2057),tensor(0.7436)
179,tensor(0.1222),tensor(0.0714),tensor(0.4222),tensor(0.),tensor(0.),tensor(0.),tensor(0.0643),tensor(0.0376),tensor(0.2222),tensor(0.0836),tensor(0.0489),tensor(0.2889)
180,tensor(0.1920),tensor(0.1165),tensor(0.5455),tensor(0.0645),tensor(0.0390),tensor(0.1860),tensor(0.1280),tensor(0.0777),tensor(0.3636),tensor(0.1840),tensor(0.1117),tensor(0.5227)
181,tensor(0.2222),tensor(0.1348),tensor(0.6327),tensor(0.0578),tensor(0.0349),tensor(0.1667),tensor(0.1147),tensor(0.0696),tensor(0.3265),tensor(0.1434),tensor(0.0870),tensor(0.4082)
182,tensor(0.1705),tensor(0.1222),tensor(0.2821),tensor(0.),tensor(0.),tensor(0.),tensor(0.1085),tensor(0.0778),tensor(0.1795),tensor(0.1550),tensor(0.1111),tensor(0.2564)
183,tensor(0.4800),tensor(0.4286),tensor(0.5455),tensor(0.3562),tensor(0.3171),tensor(0.4062),tensor(0.4800),tensor(0.4286),tensor(0.5455),tensor(0.4800),tensor(0.4286),tensor(0.5455)
184,tensor(0.1520),tensor(0.0876),tensor(0.5758),tensor(0.0565),tensor(0.0324),tensor(0.2188),tensor(0.0960),tensor(0.0553),tensor(0.3636),tensor(0.1440),tensor(0.0829),tensor(0.5455)
185,tensor(0.2857),tensor(0.2143),tensor(0.4286),tensor(0.1129),tensor(0.0843),tensor(0.1707),tensor(0.1905),tensor(0.1429),tensor(0.2857),tensor(0.2381),tensor(0.1786),tensor(0.3571)
186,tensor(0.3448),tensor(0.2215),tensor(0.7778),tensor(0.1791),tensor(0.1146),tensor(0.4091),tensor(0.1872),tensor(0.1203),tensor(0.4222),tensor(0.2956),tensor(0.1899),tensor(0.6667)
187,tensor(0.1712),tensor(0.1053),tensor(0.4583),tensor(0.0706),tensor(0.0433),tensor(0.1915),tensor(0.0934),tensor(0.0574),tensor(0.2500),tensor(0.1556),tensor(0.0957),tensor(0.4167)
188,tensor(0.1739),tensor(0.1061),tensor(0.4828),tensor(0.0377),tensor(0.0229),tensor(0.1071),tensor(0.0870),tensor(0.0530),tensor(0.2414),tensor(0.1366),tensor(0.0833),tensor(0.3793)
189,tensor(0.2044),tensor(0.1429),tensor(0.3590),tensor(0.0593),tensor(0.0412),tensor(0.1053),tensor(0.1168),tensor(0.0816),tensor(0.2051),tensor(0.1460),tensor(0.1020),tensor(0.2564)
190,tensor(0.1732),tensor(0.1038),tensor(0.5238),tensor(0.0714),tensor(0.0427),tensor(0.2195),tensor(0.1260),tensor(0.0755),tensor(0.3810),tensor(0.1417),tensor(0.0849),tensor(0.4286)
191,tensor(0.0824),tensor(0.0453),tensor(0.4516),tensor(0.0178),tensor(0.0097),tensor(0.1000),tensor(0.0471),tensor(0.0259),tensor(0.2581),tensor(0.0706),tensor(0.0388),tensor(0.3871)
192,tensor(0.3733),tensor(0.3500),tensor(0.4000),tensor(0.0548),tensor(0.0513),tensor(0.0588),tensor(0.2133),tensor(0.2000),tensor(0.2286),tensor(0.3200),tensor(0.3000),tensor(0.3429)
193,tensor(0.2128),tensor(0.1449),tensor(0.4000),tensor(0.0215),tensor(0.0146),tensor(0.0408),tensor(0.1170),tensor(0.0797),tensor(0.2200),tensor(0.1596),tensor(0.1087),tensor(0.3000)
194,tensor(0.1928),tensor(0.1127),tensor(0.6667),tensor(0.0972),tensor(0.0566),tensor(0.3429),tensor(0.1044),tensor(0.0610),tensor(0.3611),tensor(0.1687),tensor(0.0986),tensor(0.5833)
195,tensor(0.3818),tensor(0.2763),tensor(0.6176),tensor(0.1111),tensor(0.0800),tensor(0.1818),tensor(0.1818),tensor(0.1316),tensor(0.2941),tensor(0.3273),tensor(0.2368),tensor(0.5294)
196,tensor(0.3636),tensor(0.2909),tensor(0.4848),tensor(0.1628),tensor(0.1296),tensor(0.2188),tensor(0.2045),tensor(0.1636),tensor(0.2727),tensor(0.2500),tensor(0.2000),tensor(0.3333)
197,tensor(0.2353),tensor(0.1489),tensor(0.5600),tensor(0.1102),tensor(0.0695),tensor(0.2653),tensor(0.1429),tensor(0.0904),tensor(0.3400),tensor(0.2017),tensor(0.1277),tensor(0.4800)
198,tensor(0.2597),tensor(0.1630),tensor(0.6383),tensor(0.1310),tensor(0.0820),tensor(0.3261),tensor(0.2078),tensor(0.1304),tensor(0.5106),tensor(0.2424),tensor(0.1522),tensor(0.5957)
199,tensor(0.0939),tensor(0.0514),tensor(0.5484),tensor(0.0167),tensor(0.0091),tensor(0.1000),tensor(0.0497),tensor(0.0272),tensor(0.2903),tensor(0.0939),tensor(0.0514),tensor(0.5484)
200,tensor(0.3333),tensor(0.2376),tensor(0.5581),tensor(0.1127),tensor(0.0800),tensor(0.1905),tensor(0.2639),tensor(0.1881),tensor(0.4419),tensor(0.3194),tensor(0.2277),tensor(0.5349)
201,tensor(0.2887),tensor(0.2154),tensor(0.4375),tensor(0.0632),tensor(0.0469),tensor(0.0968),tensor(0.1856),tensor(0.1385),tensor(0.2812),tensor(0.2474),tensor(0.1846),tensor(0.3750)
