"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
0.2775527040163676,0.27525214354197186,0.3052177627881368,0.23474041620890299,0.22288358211517334,0.23195054133733115,0.27695439259211224,0.2939240336418152,0.2631941835085551,0.26276618242263794,0.27591294050216675,0.3113951285680135,0.24087103207906088,0.23499653736750284,0.26181934277216595,0.27864257494608563,0.2649782697359721,0.2966734965642293,0.2377344568570455,0.23578701416651407,0.2374309500058492,0.29137370983759564,0.2630379796028137,0.2705496946970622,0.2732925812403361,0.2815000017484029,0.28758029143015545,0.28743845224380493,0.2532108823458354,0.2564830382664998,0.25981324911117554,0.28092966477076214,0.26922138532002765,0.2938773036003113,0.2360288898150126,0.24425802628199259,0.24337297677993774,0.26773204406102497,0.273321270942688,0.2651624083518982,0.2307642102241516,0.282129446665446,0.28791238864262897,0.2854127685228984,0.2528602083524068,0.25602110226949054,0.26282036304473877,0.2814305027325948,0.2782687147458394,0.2790239453315735,0.2502455910046895,0.268703818321228,0.27371859550476074,0.26834317048390705,0.23507664601008096,0.261053999265035,0.28194783131281537,0.276688555876414,0.28076332807540894,0.2532212932904561,0.2723710934321086,0.261082927385966,0.27143047253290814
0.472622553507487,0.44777528444925946,0.4167697032292684,0.45846879482269287,0.26226313908894855,0.4497029781341553,0.4769279956817627,0.47017717361450195,0.4885400931040446,0.39299432436625165,0.4677371581395467,0.4387391408284505,0.46959173679351807,0.29357200860977173,0.46213603019714355,0.48641252517700195,0.3302314678827922,0.4354714552561442,0.39650007088979083,0.455111821492513,0.2960814634958903,0.47230688730875653,0.4876766999562581,0.4303646485010783,0.46840643882751465,0.4871784448623657,0.4300878445307414,0.46475017070770264,0.45355490843455,0.47440354029337567,0.4076461394627889,0.4913723866144816,0.35730016231536865,0.4424622058868408,0.4132008155186971,0.46841152509053546,0.3248656392097473,0.4291174014409383,0.4765557845433553,0.34987878799438477,0.40223463376363117,0.48696668942769367,0.4389687379201253,0.46491579214731854,0.45799922943115234,0.47502883275349933,0.4238693316777547,0.4750606616338094,0.48329997062683105,0.42705194155375165,0.4475436210632324,0.4427500168482463,0.4777967929840088,0.37175103028615314,0.4161125421524048,0.42423152923583984,0.4820777177810669,0.4816089868545532,0.4334312677383423,0.45437777042388916,0.4612573782602946,0.4336503744125366,0.4644778569539388
0.20403299729029337,0.20670507351557413,0.25444507598876953,0.16260894139607748,0.2225133180618286,0.16076677044232687,0.20243320862452188,0.2222739060719808,0.18650086720784506,0.20603740215301514,0.203639288743337,0.25573448340098065,0.16699490944544473,0.22225801150004068,0.19014010826746622,0.2023554046948751,0.24202760060628256,0.23514368136723837,0.17716358105341592,0.16395445664723715,0.21700664361317953,0.2189322511355082,0.1862334410349528,0.2047763466835022,0.19998455047607422,0.20512253046035767,0.22669043143590292,0.2160058617591858,0.18191969394683838,0.18218890825907388,0.19856770833333334,0.20361481110254923,0.2322778900464376,0.2293466329574585,0.17138532797495523,0.17046016454696655,0.2071335713068644,0.20264184474945068,0.1987700859705607,0.2266629139582316,0.16859827438990274,0.20581525564193726,0.225341796875,0.2138462464014689,0.1811311443646749,0.18133676052093506,0.19800017277399698,0.2076570192972819,0.2023350397745768,0.21752331654230753,0.18028809626897177,0.2004411816596985,0.19867438077926636,0.2205499013264974,0.17029690742492676,0.19615711768468222,0.2068724830945333,0.20104211568832397,0.21686840057373047,0.18209129571914673,0.20083208878835043,0.19424593448638916,0.19889825582504272
0.06666921575864156,0.06380245586236317,0.07051876187324524,0.045072133342425026,0.033402559657891594,0.0448981374502182,0.06618717312812805,0.07127134005228679,0.061091129978497825,0.051751673221588135,0.06084567308425903,0.07415914535522461,0.04919404288132986,0.03859311838944753,0.05994885663191477,0.06969430049260457,0.05313045779863993,0.06672940651575725,0.040215124686559044,0.0445344348748525,0.03721458464860916,0.07271903256575267,0.060837045311927795,0.05783060689767202,0.06264568865299225,0.06866778930028279,0.06627799073855083,0.06828234096368153,0.05461350083351135,0.05550463994344076,0.0520517627398173,0.07107572754224141,0.055578251679738365,0.06835608681042989,0.0418321837981542,0.05057505269845327,0.04217903812726339,0.05910797913869222,0.0640724649031957,0.05269626279671987,0.03859423100948334,0.06885734697182973,0.06956640879313152,0.06758583088715871,0.05558387438456217,0.05614416301250458,0.053590809305508934,0.06802468001842499,0.06631214420000713,0.06222468614578247,0.051163906852404274,0.0630464106798172,0.06372141341368358,0.05417547623316447,0.040333797534306846,0.05732377370198568,0.0694506714741389,0.06580333411693573,0.06264212230841319,0.05373696982860565,0.06160145501295725,0.057680562138557434,0.062096948424975075
0.11717385053634644,0.10656930009524028,0.1005180577437083,0.0928771694501241,0.042578925689061485,0.08924303452173869,0.11817436416943868,0.1174631913503011,0.11769871910413106,0.0820174366235733,0.10621969898541768,0.11011869708697002,0.09972450137138367,0.05151240030924479,0.1073082685470581,0.12710906068483988,0.06955338517824809,0.10177365938822429,0.0715161810318629,0.08950892090797424,0.049274787306785583,0.12150821089744568,0.11712382237116496,0.09669538338979085,0.111701101064682,0.12310021122296651,0.10336172580718994,0.11384624242782593,0.1031913956006368,0.10613798101743062,0.0859922468662262,0.12982710202534994,0.07807481785615285,0.10755454500516255,0.07792821029822032,0.10002225637435913,0.059316436449686684,0.09947651624679565,0.11692596475283305,0.07316805919011433,0.07219370206197102,0.12308871746063232,0.11009897788365682,0.1134673257668813,0.1067353089650472,0.1081067721048991,0.09094620744387309,0.11924685041109721,0.11932386954625447,0.09875325361887614,0.09645559390385945,0.10864017407099406,0.11630405982335408,0.07861030101776123,0.0754912296930949,0.09786020716031392,0.12306812405586243,0.11898782849311829,0.10052740573883057,0.10127081473668416,0.10788585742314656,0.1008819838364919,0.11051718393961589
0.048270086447397866,0.047497635086377464,0.05730737745761871,0.03058968981107076,0.029991038143634796,0.03074176361163457,0.047585989038149513,0.05317497750123342,0.04265855252742767,0.039404076834519706,0.0443139374256134,0.059224531054496765,0.03361595173676809,0.03341872990131378,0.04355597992738088,0.04958777626355489,0.0468568354845047,0.05176968375841776,0.029264348248640697,0.030459006627400715,0.032219283282756805,0.053830708066622414,0.042425369222958885,0.04282640417416891,0.045103525122006737,0.04920301338036855,0.05130201578140259,0.050647358099619545,0.038407025237878166,0.038900879522164665,0.0388480027516683,0.05044719080130259,0.04638624687989553,0.05221224327882131,0.029600123564402264,0.034830903013547264,0.03514499217271805,0.04378102719783783,0.04568429787953695,0.04415970047314962,0.02736276884873708,0.049389769633611046,0.05364587903022766,0.04996981223424276,0.038876319924990334,0.039134430388609566,0.03945184995730718,0.04941372573375702,0.04750168323516846,0.04780318836371104,0.03612419217824936,0.04615537325541178,0.045379032691319786,0.043548385302225746,0.028622162838776905,0.042173922061920166,0.05021438995997111,0.04704145093758901,0.0475548654794693,0.03790547947088877,0.04485564927260081,0.04205178717772166,0.04475506146748861
0.1513726810614268,0.14688611030578613,0.16207409898440042,0.12370927135149638,0.1363983154296875,0.12198097507158916,0.1516583263874054,0.15861244002978006,0.14049230019251505,0.14934452374776205,0.15102224548657736,0.1625841756661733,0.12584834297498068,0.14205055435498556,0.14322829246520996,0.1499636471271515,0.14939403533935547,0.1578612426916758,0.132366011540095,0.12393760681152344,0.1401081681251526,0.1578934689362844,0.1418058971563975,0.1513127088546753,0.15194223324457803,0.14962834119796753,0.1575908362865448,0.15537011623382568,0.14274926980336508,0.13764373461405435,0.14958475033442178,0.15209080775578818,0.15185381968816122,0.1551634967327118,0.12972249587376913,0.1277032991250356,0.14302518963813782,0.1493225892384847,0.14662753542264303,0.15280361970265707,0.1265484889348348,0.1508356730143229,0.15887468059857687,0.15460317333539328,0.14119852582613626,0.1388451854387919,0.14842029412587485,0.14974593122800192,0.14934622248013815,0.15411498149236044,0.14020867149035135,0.14722701907157898,0.14734316865603128,0.1491799751917521,0.1288477679093679,0.1436776022116343,0.15044585863749185,0.14950156211853027,0.15674632787704468,0.1407002011934916,0.1486427386601766,0.145089457432429,0.14867669343948364
0.2592734893163045,0.2400024930636088,0.2210403879483541,0.24123968680699667,0.15827974677085876,0.23574779431025186,0.26405221223831177,0.25593183437983197,0.2642446557680766,0.22257105509440103,0.2585486173629761,0.23104417324066162,0.24596458673477173,0.17425898710886636,0.2519124945004781,0.26431339979171753,0.18375170230865479,0.2322107752164205,0.2187080184618632,0.23816577593485513,0.17357361316680908,0.25834860404332477,0.26520617802937824,0.24078840017318726,0.2625184456507365,0.26163283983866376,0.23637966314951578,0.25304603576660156,0.2548530499140422,0.25597192843755084,0.23399527867635092,0.26772087812423706,0.19901522000630698,0.2339841922124227,0.22579089800516763,0.24468465646107992,0.18853346506754556,0.23898122708002725,0.258292555809021,0.19873319069544473,0.21814781427383423,0.2631867130597432,0.24267655611038208,0.25361746549606323,0.2553449869155884,0.25872401396433514,0.24018206199010214,0.254668394724528,0.261227011680603,0.23718035221099854,0.2503318389256795,0.2418520450592041,0.25902994473775226,0.20459542671839395,0.22701672712961832,0.23303608099619547,0.2587760289510091,0.2618867556254069,0.24437888463338217,0.25322723388671875,0.25330909093221027,0.24138251940409342,0.25590046246846515
0.11110870043436687,0.10999926924705505,0.13544905185699463,0.08579556147257487,0.13950796922047934,0.0846586525440216,0.11037453015645345,0.11951947212219238,0.09920976559321086,0.11750239133834839,0.11093587676684062,0.13293288151423135,0.08720656236012776,0.13826884826024374,0.10435447096824646,0.10855944951375325,0.13871275385220846,0.12504886587460837,0.09918137391408284,0.08637859423955281,0.12876195708910623,0.11822930971781413,0.10013509790102641,0.11454147100448608,0.11080390214920044,0.10862586895624797,0.12421208620071411,0.11640773216883342,0.10285844405492146,0.0976502001285553,0.11451733112335205,0.11004140973091125,0.13337852557500204,0.12094318866729736,0.0945526659488678,0.0891629954179128,0.12317460775375366,0.11316102743148804,0.10624848802884419,0.13261054952939352,0.09298098087310791,0.10957308610280354,0.12424322962760925,0.11554593841234843,0.101373424132665,0.0981611708799998,0.11164811253547668,0.11024287343025208,0.10837652285893758,0.11985291043917339,0.10118239124615987,0.10995245973269145,0.10666295886039734,0.12362707654635112,0.09356238444646199,0.10810939470926921,0.11024431387583415,0.10845746596654256,0.12045519550641377,0.10117600361506145,0.10942887266476949,0.10793993870417277,0.10880148410797119
0.2127494215965271,0.2049719492594401,0.22066964705785116,0.1723171273867289,0.16779444615046182,0.17277506987253824,0.20632831255594888,0.2197375496228536,0.1984726389249166,0.19885132710138956,0.20928694804509482,0.22912134726842245,0.18112091223398843,0.17609810829162598,0.1952373186747233,0.20608967542648315,0.19447179635365805,0.21849600474039713,0.17717798550923666,0.17356202999750772,0.17480581998825073,0.21880187590916952,0.1974592407544454,0.20502936840057373,0.2094524105389913,0.21113866567611694,0.2162441611289978,0.21612226963043213,0.1925633947054545,0.1938863197962443,0.19814221064249674,0.20929704109827676,0.1992102861404419,0.22041285037994385,0.17471752564112344,0.1823007861773173,0.18532864252726236,0.20407470067342123,0.20546148220698038,0.19721251726150513,0.1700172225634257,0.21158323685328165,0.21812806526819864,0.21469291051228842,0.1944666107495626,0.19427688916524252,0.19843182961146036,0.21250041325887045,0.20551925897598267,0.21180840333302817,0.19097352027893066,0.20466611782709757,0.20196175575256348,0.19753003120422363,0.17147475481033325,0.20121643940607706,0.21311757961908975,0.2035535971323649,0.21488291025161743,0.19262001911799112,0.20335876941680908,0.1973822315533956,0.20199392239252725
